Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004153513872736335,0.0027573529411764708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00830702774547267,0.01838235294117647,0.0,0.5,0.03225806451612903,0.9,0.05454545454545454,0.0,0.0
3,0.012460541618209005,0.02022058823529412,0.0,0.5,0.03225806451612903,0.9,0.05454545454545454,0.0,0.0
4,0.01661405549094534,0.02297794117647059,0.0,0.5,0.03225806451612903,1.0,0.06060606060606061,0.0,0.0
5,0.020767569363681675,0.03216911764705882,0.0,0.5,0.03225806451612903,1.0,0.06666666666666667,0.0,0.0
6,0.02492108323641801,0.042279411764705885,0.0,0.5,0.03225806451612903,1.0,0.07272727272727272,0.0,0.0
7,0.029074597109154346,0.04779411764705882,0.0,0.5,0.03225806451612903,1.0,0.08484848484848485,0.0,0.0
8,0.03322811098189068,0.057904411764705885,0.0,0.5,0.03225806451612903,1.0,0.09090909090909091,0.0,0.0
9,0.03738162485462702,0.06801470588235294,0.0,0.5,0.03225806451612903,1.0,0.10909090909090909,0.0,0.0
10,0.04153513872736335,0.08088235294117647,0.0,0.8,0.05161290322580645,1.0,0.12727272727272726,0.0,0.0
11,0.04568865260009968,0.09099264705882353,0.0,0.9,0.05806451612903226,1.0,0.14545454545454545,0.0,0.0
12,0.04984216647283602,0.09926470588235294,0.0,1.0,0.07096774193548387,1.0,0.18181818181818182,0.0,0.0
13,0.05399568034557235,0.10753676470588236,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.0,0.0
14,0.05814919421830869,0.109375,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.0,0.0
15,0.062302708091045024,0.11213235294117647,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.0,0.0
16,0.06645622196378136,0.11397058823529412,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.0,0.0
17,0.0706097358365177,0.11764705882352941,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.1,0.034482758620689655
18,0.07476324970925403,0.12224264705882353,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.1,0.034482758620689655
19,0.07891676358199036,0.12591911764705882,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.1,0.034482758620689655
20,0.0830702774547267,0.12775735294117646,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.1,0.034482758620689655
21,0.08722379132746304,0.1332720588235294,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.2,0.06896551724137931
22,0.09137730520019936,0.13786764705882354,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.3,0.10344827586206896
23,0.0955308190729357,0.14338235294117646,0.0,1.0,0.08387096774193549,1.0,0.21212121212121213,0.4,0.13793103448275862
24,0.09968433294567204,0.1488970588235294,0.3333333333333333,1.0,0.09032258064516129,1.0,0.21212121212121213,0.4,0.13793103448275862
25,0.10383784681840838,0.15625,0.3333333333333333,1.0,0.09032258064516129,1.0,0.21818181818181817,0.5,0.1724137931034483
26,0.1079913606911447,0.16176470588235295,0.3333333333333333,1.0,0.09032258064516129,1.0,0.21818181818181817,0.6,0.20689655172413793
27,0.11214487456388104,0.16544117647058823,0.3333333333333333,1.0,0.09032258064516129,1.0,0.22424242424242424,0.6,0.20689655172413793
28,0.11629838843661738,0.16727941176470587,0.3333333333333333,1.0,0.09032258064516129,1.0,0.22424242424242424,0.6,0.20689655172413793
29,0.12045190230935371,0.17095588235294118,0.3333333333333333,1.0,0.09032258064516129,1.0,0.22424242424242424,0.6,0.20689655172413793
30,0.12460541618209005,0.17371323529411764,0.3333333333333333,1.0,0.09032258064516129,1.0,0.22424242424242424,0.7,0.2413793103448276
31,0.1287589300548264,0.17738970588235295,0.3333333333333333,1.0,0.09032258064516129,1.0,0.22424242424242424,0.7,0.2413793103448276
32,0.1329124439275627,0.18106617647058823,0.3333333333333333,1.0,0.0967741935483871,1.0,0.22424242424242424,0.7,0.2413793103448276
33,0.13706595780029907,0.18474264705882354,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23030303030303031,0.7,0.2413793103448276
34,0.1412194716730354,0.1875,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23030303030303031,0.7,0.2413793103448276
35,0.14537298554577172,0.19025735294117646,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23030303030303031,0.8,0.27586206896551724
36,0.14952649941850807,0.1948529411764706,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
37,0.1536800132912444,0.19669117647058823,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
38,0.15783352716398072,0.19852941176470587,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
39,0.16198704103671707,0.20036764705882354,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
40,0.1661405549094534,0.20404411764705882,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
41,0.17029406878218972,0.20863970588235295,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
42,0.17444758265492608,0.20955882352941177,0.3333333333333333,1.0,0.0967741935483871,1.0,0.23636363636363636,0.8,0.27586206896551724
43,0.1786010965276624,0.2113970588235294,0.3333333333333333,1.0,0.0967741935483871,1.0,0.24242424242424243,0.8,0.27586206896551724
44,0.18275461040039873,0.21323529411764705,0.3333333333333333,1.0,0.0967741935483871,1.0,0.24242424242424243,0.8,0.27586206896551724
45,0.18690812427313508,0.21599264705882354,0.3333333333333333,1.0,0.0967741935483871,1.0,0.24848484848484848,0.8,0.27586206896551724
46,0.1910616381458714,0.22058823529411764,0.3333333333333333,1.0,0.1032258064516129,1.0,0.2545454545454545,0.8,0.27586206896551724
47,0.19521515201860773,0.22334558823529413,0.3333333333333333,1.0,0.1032258064516129,1.0,0.2606060606060606,0.8,0.27586206896551724
48,0.19936866589134408,0.22886029411764705,0.3333333333333333,1.0,0.10967741935483871,1.0,0.2606060606060606,0.8,0.27586206896551724
49,0.2035221797640804,0.23253676470588236,0.3333333333333333,1.0,0.11612903225806452,1.0,0.26666666666666666,0.9,0.3103448275862069
50,0.20767569363681676,0.23345588235294118,0.3333333333333333,1.0,0.11612903225806452,1.0,0.26666666666666666,0.9,0.3103448275862069
51,0.21182920750955309,0.23529411764705882,0.3333333333333333,1.0,0.11612903225806452,1.0,0.26666666666666666,0.9,0.3103448275862069
52,0.2159827213822894,0.23805147058823528,0.3333333333333333,1.0,0.12258064516129032,1.0,0.2727272727272727,0.9,0.3103448275862069
53,0.22013623525502576,0.24080882352941177,0.3333333333333333,1.0,0.12258064516129032,1.0,0.2787878787878788,0.9,0.3103448275862069
54,0.2242897491277621,0.24540441176470587,0.3333333333333333,1.0,0.12903225806451613,1.0,0.2787878787878788,0.9,0.3103448275862069
