Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.004106438896189225,0.0034965034965034965,0.0,0.0,0.0,0.0,0.0
2,0.00821287779237845,0.005244755244755245,0.0,0.0,0.0,0.0,0.0
3,0.012319316688567674,0.01048951048951049,0.0,0.0,0.0,0.0,0.0
4,0.0164257555847569,0.017482517482517484,0.0,0.0,0.0,0.0,0.0
5,0.020532194480946123,0.02097902097902098,0.0,0.0,0.0,0.0,0.0
6,0.024638633377135347,0.026223776223776224,0.0,0.0,0.0,0.0,0.0
7,0.02874507227332457,0.026223776223776224,0.0,0.0,0.0,0.0,0.0
8,0.0328515111695138,0.03146853146853147,0.0,0.0,0.0,0.0,0.0
9,0.03695795006570302,0.03496503496503497,0.0,0.0,0.0,0.0,0.0
10,0.04106438896189225,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
11,0.04517082785808147,0.04195804195804196,0.0,0.0,0.0,0.0,0.0
12,0.049277266754270695,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
13,0.05338370565045992,0.05244755244755245,0.0,0.0,0.0,0.0,0.0
14,0.05749014454664914,0.055944055944055944,0.0,0.0,0.0,0.0,0.0
15,0.061596583442838374,0.06118881118881119,0.0,0.0,0.0,0.0,0.0
16,0.0657030223390276,0.06818181818181818,0.0,0.0,0.0,0.0,0.0
17,0.06980946123521682,0.07167832167832168,0.0,0.0,0.0,0.0,0.0
18,0.07391590013140605,0.07867132867132867,0.0,0.0,0.0,0.0,0.0
19,0.07802233902759527,0.08216783216783216,0.0,0.0,0.0,0.0,0.0
20,0.0821287779237845,0.08391608391608392,0.0,0.0,0.0,0.0,0.0
21,0.08623521681997372,0.09265734265734266,0.0,0.0,0.0,0.1,0.07692307692307693
22,0.09034165571616294,0.0944055944055944,0.0,0.0,0.0,0.1,0.07692307692307693
23,0.09444809461235217,0.0944055944055944,0.0,0.0,0.0,0.1,0.07692307692307693
24,0.09855453350854139,0.09615384615384616,0.0,0.0,0.0,0.1,0.07692307692307693
25,0.10266097240473061,0.09615384615384616,0.0,0.0,0.0,0.1,0.07692307692307693
26,0.10676741130091984,0.09615384615384616,0.0,0.0,0.0,0.1,0.07692307692307693
27,0.11087385019710906,0.10139860139860139,0.0,0.0,0.0,0.1,0.07692307692307693
28,0.11498028909329829,0.10139860139860139,0.0,0.0,0.0,0.1,0.07692307692307693
29,0.11908672798948752,0.10139860139860139,0.0,0.0,0.0,0.1,0.07692307692307693
30,0.12319316688567675,0.10664335664335664,0.0,0.0,0.0,0.1,0.07692307692307693
31,0.12729960578186597,0.11013986013986014,0.0,0.0,0.0,0.1,0.07692307692307693
32,0.1314060446780552,0.11363636363636363,0.0,0.0,0.0,0.2,0.15384615384615385
33,0.13551248357424442,0.11538461538461539,0.0,0.0,0.0,0.2,0.15384615384615385
34,0.13961892247043364,0.11538461538461539,0.0,0.0,0.0,0.2,0.15384615384615385
35,0.14372536136662287,0.11713286713286714,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
36,0.1478318002628121,0.12062937062937062,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
37,0.15193823915900131,0.12237762237762238,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
38,0.15604467805519054,0.12412587412587413,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
39,0.16015111695137976,0.1258741258741259,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
40,0.164257555847569,0.13286713286713286,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
41,0.1683639947437582,0.14335664335664336,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
42,0.17247043363994743,0.14685314685314685,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
43,0.17657687253613666,0.15384615384615385,0.0,0.1,0.09090909090909091,0.2,0.15384615384615385
44,0.18068331143232588,0.1590909090909091,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
45,0.1847897503285151,0.16083916083916083,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
46,0.18889618922470433,0.16433566433566432,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
47,0.19300262812089355,0.17132867132867133,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
48,0.19710906701708278,0.17657342657342656,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
49,0.201215505913272,0.18006993006993008,0.0,0.1,0.09090909090909091,0.3,0.23076923076923078
