Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
22,0.09214273747696432,0.10166799046862589,0.0,0.1,0.1,0.5,0.10638297872340426,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
23,0.09633104372591723,0.10643367752184273,0.0,0.2,0.2,0.5,0.10638297872340426,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
24,0.10051934997487016,0.1096108022239873,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
25,0.10470765622382308,0.11278792692613185,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
26,0.10889596247277601,0.11834789515488484,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
27,0.11308426872172893,0.12152501985702939,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.1,0.037037037037037035,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
28,0.11727257497068186,0.12867355043685463,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
29,0.12146088121963478,0.1318506751389992,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
30,0.1256491874685877,0.13661636219221604,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
31,0.12983749371754064,0.14297061159650518,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0
32,0.13402579996649355,0.1453534551231136,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.2,0.2,0.2,0.2,0.1,0.1,0.0,0.0
33,0.13821410621544647,0.15011914217633043,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.1,0.07142857142857142,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
34,0.14240241246439939,0.15409054805401112,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.2,0.14285714285714285,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
35,0.14659071871335233,0.15885623510722796,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
