id_4,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.67±0.0,0.0±0.0,0.03±0.1,0.67±0.0
id_5,0.12±0.0,0.0±0.0,0.0±0.0,0.12±0.0,0.25±0.0,0.0±0.0,0.0±0.02,0.12±0.0
id_6,0.17±0.0,0.0±0.0,0.02±0.05,0.0±0.0,0.67±0.0,0.0±0.0,0.03±0.07,0.33±0.0
id_7,0.25±0.0,0.0±0.0,0.05±0.1,0.25±0.0,0.25±0.0,0.0±0.0,0.17±0.12,0.25±0.0
id_8,0.0±0.0,0.0±0.0,0.02±0.05,0.17±0.0,0.17±0.0,0.0±0.0,0.12±0.08,0.17±0.0
id_9,0.2±0.0,0.0±0.0,0.1±0.1,0.2±0.0,0.2±0.0,0.0±0.0,0.13±0.09,0.2±0.0
id_10,0.75±0.0,0.25±0.0,0.18±0.11,0.75±0.0,0.25±0.0,0.0±0.0,0.2±0.1,0.5±0.0
id_11,0.67±0.0,0.0±0.0,0.2±0.16,0.67±0.0,0.33±0.0,0.0±0.0,0.3±0.1,0.67±0.0
id_12,0.5±0.0,0.25±0.0,0.18±0.11,0.5±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.5±0.0
id_13,0.67±0.0,0.33±0.0,0.03±0.1,0.67±0.0,0.33±0.0,0.0±0.0,0.2±0.16,0.67±0.0
id_14,0.5±0.0,0.5±0.0,0.32±0.16,0.5±0.0,0.5±0.0,0.25±0.0,0.25±0.06,0.5±0.0
id_15,1.0±0.0,1.0±0.0,0.5±0.0,1.0±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0
Overall,0.34±0.31,0.16±0.27,0.11±0.17,0.36±0.3,0.35±0.18,0.07±0.14,0.15±0.16,0.38±0.19


Dataset (40 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.04,0.25±0.0
id_2,0.25±0.0,0.0±0.0,0.02±0.08,0.25±0.0,1.0±0.0,0.0±0.0,0.07±0.11,0.25±0.0
id_3,0.14±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.57±0.0,0.0±0.0,0.07±0.07,0.29±0.0
id_4,0.33±0.0,0.0±0.0,0.0±0.0,0.33±0.0,1.0±0.0,0.0±0.0,0.17±0.19,0.67±0.0
id_5,0.38±0.0,0.12±0.0,0.01±0.04,0.12±0.0,0.25±0.0,0.0±0.0,0.03±0.06,0.12±0.0
id_6,0.33±0.0,0.17±0.0,0.08±0.08,0.0±0.0,0.67±0.0,0.0±0.0,0.13±0.1,0.33±0.0
id_7,0.25±0.0,0.25±0.0,0.22±0.08,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0
id_8,0.33±0.0,0.0±0.0,0.07±0.08,0.17±0.0,0.17±0.0,0.0±0.0,0.16±0.03,0.17±0.0
id_9,0.2±0.0,0.0±0.0,0.18±0.06,0.2±0.0,0.2±0.0,0.0±0.0,0.2±0.0,0.2±0.0
id_10,0.75±0.0,0.75±0.0,0.25±0.0,1.0±0.0,0.25±0.0,0.5±0.0,0.25±0.0,0.75±0.0
id_11,0.67±0.0,1.0±0.0,0.33±0.0,0.67±0.0,0.33±0.0,0.33±0.0,0.33±0.0,1.0±0.0
id_12,0.5±0.0,0.5±0.0,0.28±0.08,0.5±0.0,0.5±0.0,0.5±0.0,0.27±0.06,0.5±0.0
id_13,0.67±0.0,0.67±0.0,0.37±0.18,0.67±0.0,0.67±0.0,0.33±0.0,0.36±0.08,0.67±0.0
id_14,0.5±0.0,0.5±0.0,0.48±0.08,0.5±0.0,0.5±0.0,0.25±0.0,0.32±0.11,0.5±0.0
id_15,1.0±0.0,1.0±0.0,0.65±0.23,1.0±0.0,0.5±0.0,1.0±0.0,0.5±0.0,1.0±0.0
