Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040936630096610445,0.003834355828220859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008187326019322089,0.010736196319018405,0.0,0.7,0.009762900976290097,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012280989028983134,0.019171779141104295,0.0,0.8,0.011157601115760111,0.1,0.058823529411764705,0.3,0.23076923076923078,0.0,0.0
4,0.016374652038644178,0.026840490797546013,0.0,1.0,0.01394700139470014,0.1,0.058823529411764705,0.3,0.23076923076923078,0.0,0.0
5,0.020468315048305225,0.03450920245398773,0.0,1.0,0.015341701534170154,0.1,0.058823529411764705,0.4,0.3076923076923077,0.0,0.0
6,0.02456197805796627,0.04447852760736196,0.0,1.0,0.02092050209205021,0.1,0.058823529411764705,0.7,0.5384615384615384,0.0,0.0
7,0.028655641067627313,0.05598159509202454,0.0,1.0,0.029288702928870293,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
8,0.032749304077288356,0.0651840490797546,0.0,1.0,0.03486750348675035,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
9,0.0368429670869494,0.0736196319018405,0.25,1.0,0.040446304044630406,0.3,0.17647058823529413,1.0,0.9230769230769231,0.0,0.0
10,0.04093663009661045,0.08358895705521473,0.25,1.0,0.04881450488145049,0.4,0.23529411764705882,1.0,0.9230769230769231,0.0,0.0
11,0.04503029310627149,0.09585889570552147,0.25,1.0,0.06694560669456066,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
12,0.04912395611593254,0.10736196319018405,0.25,1.0,0.07810320781032078,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
13,0.05321761912559358,0.11809815950920245,0.25,1.0,0.09483960948396095,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
14,0.057311282135254625,0.13113496932515337,0.25,1.0,0.11576011157601115,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
15,0.06140494514491567,0.14340490797546013,0.25,1.0,0.13807531380753138,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
16,0.06549860815457671,0.1464723926380368,0.25,1.0,0.14225941422594143,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
17,0.06959227116423776,0.14800613496932516,0.25,1.0,0.14225941422594143,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
18,0.0736859341738988,0.15030674846625766,0.25,1.0,0.14365411436541142,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
19,0.07777959718355985,0.1526073619631902,0.25,1.0,0.14644351464435146,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
20,0.0818732601932209,0.15337423312883436,0.25,1.0,0.14783821478382148,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
21,0.08596692320288193,0.15644171779141106,0.25,1.0,0.1506276150627615,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
22,0.09006058621254298,0.15950920245398773,0.25,1.0,0.15202231520223153,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
23,0.09415424922220403,0.16411042944785276,0.25,1.0,0.15481171548117154,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
24,0.09824791223186508,0.17024539877300612,0.25,1.0,0.1589958158995816,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
25,0.10234157524152612,0.17331288343558282,0.25,1.0,0.16317991631799164,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
26,0.10643523825118716,0.17638036809815952,0.25,1.0,0.16457461645746166,0.5,0.29411764705882354,1.0,0.9230769230769231,0.0,0.0
27,0.1105289012608482,0.18021472392638035,0.25,1.0,0.16457461645746166,0.5,0.29411764705882354,1.0,0.9230769230769231,0.1,0.09090909090909091
