Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.004072987943955686,0.004342431761786601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008145975887911373,0.009305210918114143,0.0,0.8,0.010723860589812333,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012218963831867057,0.01240694789081886,0.0,0.9,0.012064343163538873,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016291951775822745,0.016749379652605458,0.0,0.9,0.012064343163538873,0.0,0.0,0.1,0.05263157894736842,0.0,0.0
5,0.02036493971977843,0.02357320099255583,0.0,1.0,0.013404825737265416,0.0,0.0,0.1,0.05263157894736842,0.0,0.0
6,0.024437927663734114,0.02915632754342432,0.0,1.0,0.01876675603217158,0.0,0.0,0.1,0.05263157894736842,0.0,0.0
7,0.028510915607689803,0.03784119106699752,0.0,1.0,0.024128686327077747,0.0,0.0,0.2,0.10526315789473684,0.0,0.0
8,0.03258390355164549,0.043424317617866005,0.0,1.0,0.028150134048257374,0.0,0.0,0.3,0.15789473684210525,0.0,0.0
9,0.036656891495601175,0.05334987593052109,0.0,1.0,0.030831099195710455,0.0,0.0,0.4,0.21052631578947367,0.0,0.0
10,0.04072987943955686,0.06265508684863523,0.0,1.0,0.040214477211796246,0.0,0.0,0.4,0.21052631578947367,0.0,0.0
11,0.044802867383512544,0.07444168734491315,0.0,1.0,0.054959785522788206,0.0,0.0,0.4,0.21052631578947367,0.0,0.0
12,0.04887585532746823,0.08436724565756824,0.0,1.0,0.064343163538874,0.0,0.0,0.5,0.2631578947368421,0.0,0.0
13,0.052948843271423914,0.09367245657568238,0.0,1.0,0.06970509383378017,0.0,0.0,0.6,0.3157894736842105,0.0,0.0
14,0.057021831215379605,0.10359801488833748,0.25,1.0,0.08310991957104558,0.0,0.0,0.6,0.3157894736842105,0.0,0.0
15,0.06109481915933529,0.11290322580645161,0.25,1.0,0.09785522788203753,0.0,0.0,0.6,0.3157894736842105,0.0,0.0
16,0.06516780710329098,0.12220843672456576,0.25,1.0,0.11528150134048257,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
17,0.06924079504724666,0.13213399503722084,0.25,1.0,0.13672922252010725,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
18,0.07331378299120235,0.1358560794044665,0.25,1.0,0.1380697050938338,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
19,0.07738677093515803,0.13957816377171217,0.25,1.0,0.13941018766756033,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
20,0.08145975887911372,0.1445409429280397,0.25,1.0,0.14075067024128687,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
21,0.0855327468230694,0.14764267990074442,0.25,1.0,0.14075067024128687,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
22,0.08960573476702509,0.1501240694789082,0.25,1.0,0.14075067024128687,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
23,0.09367872271098078,0.1532258064516129,0.25,1.0,0.14343163538873996,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
24,0.09775171065493646,0.15632754342431762,0.25,1.0,0.14343163538873996,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
25,0.10182469859889215,0.1606699751861042,0.25,1.0,0.14343163538873996,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
26,0.10589768654284783,0.16501240694789082,0.25,1.0,0.14611260053619302,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
27,0.10997067448680352,0.1693548387096774,0.25,1.0,0.14611260053619302,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
28,0.11404366243075921,0.17245657568238212,0.25,1.0,0.14745308310991956,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
29,0.11811665037471489,0.17679900744416874,0.25,1.0,0.15013404825737264,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
30,0.12218963831867058,0.1780397022332506,0.25,1.0,0.15281501340482573,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
31,0.12626262626262627,0.18114143920595532,0.25,1.0,0.1554959785522788,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
32,0.13033561420658196,0.1879652605459057,0.25,1.0,0.15951742627345844,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
33,0.13440860215053763,0.19540942928039703,0.25,1.0,0.16621983914209115,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
34,0.13848159009449332,0.19851116625310175,0.25,1.0,0.16621983914209115,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
35,0.142554578038449,0.2022332506203474,0.25,1.0,0.16890080428954424,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
36,0.1466275659824047,0.206575682382134,0.25,1.0,0.16890080428954424,0.0,0.0,0.7,0.3684210526315789,0.0,0.0
