Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004133597883597883,0.0019782393669634025,0.0,0.2,0.00322061191626409,0.0,0.0,0.0,0.0
2,0.008267195767195767,0.006923837784371909,0.0,0.4,0.00644122383252818,0.0,0.0,0.0,0.0
3,0.01240079365079365,0.012858555885262116,0.0,0.7,0.011272141706924315,0.0,0.0,0.0,0.0
4,0.016534391534391533,0.01582591493570722,0.0,0.8,0.01288244766505636,0.0,0.0,0.0,0.0
5,0.02066798941798942,0.02274975272007913,0.0,1.0,0.017713365539452495,0.1,0.03125,0.0,0.0
6,0.0248015873015873,0.025717111770524232,0.0,1.0,0.017713365539452495,0.2,0.0625,0.0,0.0
7,0.028935185185185185,0.03066271018793274,0.0,1.0,0.024154589371980676,0.2,0.0625,0.0,0.0
8,0.03306878306878307,0.036597428288822946,0.0,1.0,0.033816425120772944,0.2,0.0625,0.0,0.0
9,0.03720238095238095,0.040553907022749754,0.0,1.0,0.037037037037037035,0.2,0.0625,0.0,0.0
10,0.04133597883597884,0.04451038575667656,0.0,1.0,0.043478260869565216,0.2,0.0625,0.0,0.0
11,0.04546957671957672,0.04648862512363996,0.0,1.0,0.043478260869565216,0.2,0.0625,0.0,0.0
12,0.0496031746031746,0.04846686449060336,0.0,1.0,0.04508856682769726,0.2,0.0625,0.0,0.0
13,0.053736772486772486,0.05440158259149357,0.0,1.0,0.0499194847020934,0.3,0.09375,0.0,0.0
14,0.05787037037037037,0.058358061325420374,0.0,1.0,0.05314009661835749,0.3,0.09375,0.0,0.0
15,0.062003968253968256,0.06429277942631058,0.0,1.0,0.057971014492753624,0.3,0.09375,0.0,0.0
16,0.06613756613756613,0.06726013847675569,0.0,1.0,0.061191626409017714,0.3,0.09375,0.0,0.0
17,0.07027116402116403,0.0712166172106825,0.0,1.0,0.0644122383252818,0.3,0.09375,0.0,0.0
18,0.0744047619047619,0.0751730959446093,0.0,1.0,0.06924315619967794,0.3,0.09375,0.0,0.0
19,0.07853835978835978,0.08011869436201781,0.0,1.0,0.07407407407407407,0.3,0.09375,0.0,0.0
20,0.08267195767195767,0.08605341246290801,0.0,1.0,0.07890499194847021,0.3,0.09375,0.0,0.0
21,0.08680555555555555,0.09297725024727992,0.0,1.0,0.08856682769726248,0.3,0.09375,0.0,0.0
22,0.09093915343915344,0.09594460929772503,0.0,1.0,0.09178743961352658,0.3,0.09375,0.0,0.0
23,0.09507275132275132,0.09891196834817013,0.0,1.0,0.09500805152979067,0.3,0.09375,0.0,0.0
24,0.0992063492063492,0.10286844708209693,0.0,1.0,0.0998389694041868,0.3,0.09375,0.0,0.0
25,0.10333994708994709,0.10583580613254204,0.0,1.0,0.10466988727858294,0.3,0.09375,0.0,0.0
26,0.10747354497354497,0.11374876360039565,0.0,1.0,0.11594202898550725,0.3,0.09375,0.0,0.0
27,0.11160714285714286,0.11671612265084075,0.0,1.0,0.11916264090177134,0.3,0.09375,0.0,0.0
28,0.11574074074074074,0.11968348170128586,0.0,1.0,0.12238325281803543,0.3,0.09375,0.0,0.0
29,0.11987433862433862,0.12759643916913946,0.0,1.0,0.1288244766505636,0.3,0.09375,0.0,0.0
30,0.12400793650793651,0.13452027695351138,0.0,1.0,0.13365539452495975,0.3,0.09375,0.0,0.0
31,0.1281415343915344,0.13847675568743817,0.0,1.0,0.13848631239935588,0.3,0.09375,0.0,0.0
32,0.13227513227513227,0.1434223541048467,0.0,1.0,0.143317230273752,0.3,0.09375,0.0,0.0
33,0.13640873015873015,0.14737883283877348,0.0,1.0,0.14814814814814814,0.3,0.09375,0.0,0.0
34,0.14054232804232805,0.1503461918892186,0.0,1.0,0.15136876006441224,0.3,0.09375,0.0,0.0
35,0.14467592592592593,0.152324431256182,0.0,1.0,0.15458937198067632,0.3,0.09375,0.0,0.0
36,0.1488095238095238,0.1552917903066271,0.0,1.0,0.15619967793880837,0.3,0.09375,0.0,0.0
37,0.1529431216931217,0.16221562809099901,0.0,1.0,0.1642512077294686,0.3,0.09375,0.0,0.0
38,0.15707671957671956,0.16913946587537093,0.0,1.0,0.1723027375201288,0.4,0.125,0.0,0.0
39,0.16121031746031747,0.17804154302670624,0.0,1.0,0.18035426731078905,0.4,0.125,0.0,0.0
40,0.16534391534391535,0.18298714144411474,0.0,1.0,0.18679549114331723,0.4,0.125,0.0,0.0
41,0.16947751322751323,0.18397626112759644,0.0,1.0,0.18840579710144928,0.4,0.125,0.0,0.0
42,0.1736111111111111,0.19188921859545005,0.0,1.0,0.19806763285024154,0.5,0.15625,0.0,0.0
43,0.17774470899470898,0.19881305637982197,0.0,1.0,0.20128824476650564,0.5,0.15625,0.0,0.0
44,0.1818783068783069,0.20474777448071216,0.0,1.0,0.20933977455716588,0.5,0.15625,0.0,0.0
45,0.18601190476190477,0.20771513353115728,0.0,1.0,0.21256038647342995,0.5,0.15625,0.1,0.1
