Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
38,0.15888944639571834,0.1493815413891532,0.0,1.0,0.12743362831858407,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
39,0.1630707476166583,0.15413891531874405,0.0,1.0,0.13628318584070798,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
40,0.16725204883759826,0.15699333967649856,0.0,1.0,0.13628318584070798,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
41,0.17143335005853821,0.16555661274976213,0.0,1.0,0.14513274336283186,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
42,0.17561465127947817,0.170313986679353,0.0,1.0,0.15221238938053097,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
43,0.17979595250041813,0.17411988582302568,0.0,1.0,0.15575221238938053,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
44,0.1839772537213581,0.17887725975261656,0.0,1.0,0.16283185840707964,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
45,0.18815855494229805,0.18363463368220742,0.0,1.0,0.16991150442477876,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
46,0.192339856163238,0.18648905803996194,0.0,1.0,0.17168141592920355,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
47,0.19652115738417797,0.1912464319695528,0.0,1.0,0.1752212389380531,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
48,0.2007024586051179,0.19790675547098002,0.0,1.0,0.184070796460177,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
49,0.20488375982605786,0.20076117982873454,0.0,1.0,0.18761061946902655,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
50,0.20906506104699782,0.20361560418648905,0.0,1.0,0.18761061946902655,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
51,0.21324636226793778,0.2055185537583254,0.0,1.0,0.18938053097345134,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
52,0.21742766348887774,0.20647002854424357,0.0,1.0,0.18938053097345134,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
53,0.2216089647098177,0.21122740247383445,0.0,1.0,0.18938053097345134,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
54,0.22579026593075766,0.21693625118934348,0.0,1.0,0.19646017699115045,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
55,0.22997156715169761,0.22169362511893434,0.0,1.0,0.20530973451327433,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
56,0.23415286837263757,0.22645099904852523,0.0,1.0,0.2088495575221239,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
57,0.23833416959357753,0.2274024738344434,0.0,1.0,0.21061946902654868,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
58,0.24251547081451746,0.23215984776403426,0.0,1.0,0.215929203539823,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
59,0.24669677203545742,0.23882017126546146,0.0,1.0,0.2176991150442478,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
60,0.2508780732563974,0.2407231208372978,0.0,1.0,0.21946902654867256,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
61,0.25505937447733734,0.24357754519505234,0.0,1.0,0.2247787610619469,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
62,0.2592406756982773,0.24738344433872503,0.0,1.0,0.23185840707964603,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
63,0.26342197691921726,0.2521408182683159,0.0,1.0,0.23539823008849559,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
64,0.2676032781401572,0.2559467174119886,0.0,1.0,0.2407079646017699,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
65,0.2717845793610972,0.26070409134157946,0.0,1.0,0.24601769911504426,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
66,0.27596588058203714,0.26450999048525214,0.0,1.0,0.2513274336283186,0.3,0.3,0.4,0.3333333333333333,0.0,0.0,0.2,0.16666666666666666
67,0.2801471818029771,0.269267364414843,0.0,1.0,0.2513274336283186,0.3,0.3,0.5,0.4166666666666667,0.0,0.0,0.2,0.16666666666666666
68,0.28432848302391706,0.2721217887725975,0.0,1.0,0.25309734513274335,0.3,0.3,0.5,0.4166666666666667,0.0,0.0,0.2,0.16666666666666666
69,0.288509784244857,0.2768791627021884,0.0,1.0,0.2584070796460177,0.3,0.3,0.5,0.4166666666666667,0.0,0.0,0.2,0.16666666666666666
70,0.292691085465797,0.285442435775452,0.0,1.0,0.2672566371681416,0.3,0.3,0.5,0.4166666666666667,0.1,0.1,0.2,0.16666666666666666
71,0.29687238668673693,0.2921027592768792,0.0,1.0,0.2761061946902655,0.3,0.3,0.5,0.4166666666666667,0.1,0.1,0.2,0.16666666666666666
72,0.3010536879076769,0.2949571836346337,0.2,1.0,0.27964601769911507,0.3,0.3,0.5,0.4166666666666667,0.1,0.1,0.2,0.16666666666666666
73,0.30523498912861685,0.2978116079923882,0.2,1.0,0.27964601769911507,0.3,0.3,0.5,0.4166666666666667,0.1,0.1,0.2,0.16666666666666666
74,0.30941629034955676,0.30352045670789723,0.2,1.0,0.2814159292035398,0.3,0.3,0.6,0.5,0.1,0.1,0.2,0.16666666666666666
75,0.3135975915704967,0.30637488106565175,0.2,1.0,0.2814159292035398,0.3,0.3,0.6,0.5,0.1,0.1,0.2,0.16666666666666666
76,0.3177788927914367,0.31018078020932444,0.2,1.0,0.2867256637168142,0.3,0.3,0.6,0.5,0.1,0.1,0.2,0.16666666666666666
77,0.32196019401237663,0.3139866793529971,0.2,1.0,0.2902654867256637,0.3,0.3,0.6,0.5,0.1,0.1,0.2,0.16666666666666666
78,0.3261414952333166,0.31779257849666986,0.2,1.0,0.29557522123893804,0.3,0.3,0.6,0.5,0.1,0.1,0.3,0.25
79,0.33032279645425655,0.3206470028544244,0.2,1.0,0.2991150442477876,0.3,0.3,0.6,0.5,0.1,0.1,0.3,0.25
