Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.003925417075564278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.013738959764474975,0.0,0.3,0.019736842105263157,0.0,0.0,0.3,0.3,0.1,0.011494252873563218,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.017664376840039256,0.0,0.4,0.02631578947368421,0.0,0.0,0.3,0.3,0.1,0.011494252873563218,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.023552502453385672,0.0,0.5,0.03289473684210526,0.0,0.0,0.3,0.3,0.1,0.011494252873563218,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.0323846908734053,0.0,0.6,0.039473684210526314,0.0,0.0,0.3,0.3,0.2,0.022988505747126436,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.040235525024533855,0.0,0.6,0.039473684210526314,0.0,0.0,0.3,0.3,0.2,0.022988505747126436,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.045142296368989206,0.0,0.6,0.039473684210526314,0.0,0.0,0.3,0.3,0.2,0.022988505747126436,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.05103042198233562,0.0,0.8,0.05263157894736842,0.0,0.0,0.3,0.3,0.2,0.022988505747126436,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.05593719332679097,0.0,0.8,0.05263157894736842,0.0,0.0,0.3,0.3,0.2,0.022988505747126436,0.2,0.15384615384615385,0.1,0.07692307692307693,0.1,0.08333333333333333,0.0,0.0
10,0.04170837504170837,0.06869479882237488,0.0,0.9,0.05921052631578947,0.0,0.0,0.3,0.3,0.3,0.034482758620689655,0.3,0.23076923076923078,0.1,0.07692307692307693,0.1,0.08333333333333333,0.0,0.0
11,0.04587921254587921,0.07948969578017664,0.0,1.0,0.07236842105263158,0.1,0.034482758620689655,0.3,0.3,0.3,0.034482758620689655,0.3,0.23076923076923078,0.1,0.07692307692307693,0.1,0.08333333333333333,0.1,0.09090909090909091
12,0.05005005005005005,0.08537782139352307,0.0,1.0,0.08552631578947369,0.1,0.034482758620689655,0.3,0.3,0.3,0.034482758620689655,0.3,0.23076923076923078,0.1,0.07692307692307693,0.1,0.08333333333333333,0.1,0.09090909090909091
13,0.05422088755422089,0.09519136408243375,0.0,1.0,0.1118421052631579,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.1,0.07692307692307693,0.2,0.16666666666666666,0.1,0.09090909090909091
14,0.05839172505839173,0.10402355250245339,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.1,0.07692307692307693,0.3,0.25,0.2,0.18181818181818182
15,0.06256256256256257,0.1069676153091266,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.1,0.07692307692307693,0.3,0.25,0.2,0.18181818181818182
16,0.0667334000667334,0.1099116781157998,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.1,0.07692307692307693,0.3,0.25,0.2,0.18181818181818182
17,0.07090423757090424,0.11678115799803729,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.1,0.07692307692307693,0.3,0.25,0.2,0.18181818181818182
18,0.07507507507507508,0.12266928361138371,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.3,0.23076923076923078,0.2,0.15384615384615385,0.3,0.25,0.2,0.18181818181818182
19,0.07924591257924592,0.13052011776251227,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.5,0.38461538461538464,0.2,0.15384615384615385,0.3,0.25,0.2,0.18181818181818182
20,0.08341675008341674,0.13444553483807656,0.0,1.0,0.15789473684210525,0.1,0.034482758620689655,0.4,0.4,0.4,0.04597701149425287,0.5,0.38461538461538464,0.2,0.15384615384615385,0.3,0.25,0.2,0.18181818181818182
