Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected)
30,0.12351778656126482,0.11205976520811099,0.0,1.0,0.03125,0.0,0.0,0.1,0.06666666666666667,0.1,0.09090909090909091,0.0,0.0,0.0,0.0
31,0.12763504611330698,0.11953041622198506,0.0,1.0,0.03125,0.0,0.0,0.1,0.06666666666666667,0.1,0.09090909090909091,0.0,0.0,0.0,0.0
32,0.13175230566534915,0.12273212379935966,0.0,1.0,0.03125,0.0,0.0,0.1,0.06666666666666667,0.1,0.09090909090909091,0.0,0.0,0.0,0.0
33,0.1358695652173913,0.12273212379935966,0.0,1.0,0.03125,0.0,0.0,0.1,0.06666666666666667,0.1,0.09090909090909091,0.0,0.0,0.0,0.0
34,0.13998682476943347,0.12913553895410887,0.0,1.0,0.03125,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
35,0.14410408432147562,0.13233724653148346,0.0,1.0,0.033482142857142856,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
36,0.1482213438735178,0.13874066168623267,0.0,1.0,0.03571428571428571,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
37,0.15233860342555994,0.13980789754535752,0.0,1.0,0.03571428571428571,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
38,0.1564558629776021,0.14194236926360726,0.0,1.0,0.03794642857142857,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
39,0.16057312252964426,0.14621131270010673,0.0,1.0,0.04017857142857143,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
40,0.16469038208168643,0.1472785485592316,0.0,1.0,0.04017857142857143,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
41,0.16880764163372858,0.15048025613660618,0.0,1.0,0.04017857142857143,0.0,0.0,0.1,0.06666666666666667,0.2,0.18181818181818182,0.0,0.0,0.0,0.0
