Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.004142502071251036,0.005474452554744526,0.0,0.0,0.0,0.1,0.020833333333333332,0.0,0.0,0.0,0.0
2,0.008285004142502071,0.012773722627737226,0.0,0.8,0.0125,0.1,0.020833333333333332,0.0,0.0,0.0,0.0
3,0.012427506213753107,0.01916058394160584,0.0,1.0,0.021875,0.1,0.020833333333333332,0.0,0.0,0.0,0.0
4,0.016570008285004142,0.023722627737226276,0.0,1.0,0.021875,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
5,0.020712510356255178,0.02737226277372263,0.0,1.0,0.0265625,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
6,0.024855012427506214,0.03193430656934307,0.0,1.0,0.0296875,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
7,0.02899751449875725,0.037408759124087594,0.0,1.0,0.03125,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
8,0.033140016570008285,0.03923357664233577,0.0,1.0,0.034375,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
9,0.037282518641259324,0.043795620437956206,0.0,1.0,0.034375,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
10,0.041425020712510356,0.048357664233576646,0.0,1.0,0.0359375,0.2,0.041666666666666664,0.0,0.0,0.0,0.0
11,0.045567522783761395,0.05474452554744526,0.0,1.0,0.040625,0.3,0.0625,0.0,0.0,0.0,0.0
12,0.04971002485501243,0.060218978102189784,0.0,1.0,0.04375,0.3,0.0625,0.0,0.0,0.0,0.0
13,0.053852526926263466,0.06386861313868614,0.0,1.0,0.0453125,0.3,0.0625,0.0,0.0,0.0,0.0
14,0.0579950289975145,0.06751824817518248,0.0,1.0,0.046875,0.4,0.08333333333333333,0.0,0.0,0.0,0.0
15,0.06213753106876554,0.07208029197080291,0.0,1.0,0.0484375,0.4,0.08333333333333333,0.0,0.0,0.0,0.0
16,0.06628003314001657,0.07481751824817519,0.0,1.0,0.05,0.4,0.08333333333333333,0.0,0.0,0.0,0.0
17,0.07042253521126761,0.08029197080291971,0.0,1.0,0.05,0.4,0.08333333333333333,0.0,0.0,0.0,0.0
18,0.07456503728251865,0.08485401459854014,0.0,1.0,0.0515625,0.4,0.08333333333333333,0.0,0.0,0.0,0.0
19,0.07870753935376967,0.08941605839416059,0.0,1.0,0.0546875,0.4,0.08333333333333333,0.1,0.07692307692307693,0.0,0.0
20,0.08285004142502071,0.0948905109489051,0.0,1.0,0.0609375,0.4,0.08333333333333333,0.1,0.07692307692307693,0.0,0.0
21,0.08699254349627175,0.10401459854014598,0.0,1.0,0.0640625,0.5,0.10416666666666667,0.1,0.07692307692307693,0.0,0.0
22,0.09113504556752279,0.10583941605839416,0.0,1.0,0.0640625,0.5,0.10416666666666667,0.1,0.07692307692307693,0.0,0.0
23,0.09527754763877382,0.10857664233576643,0.0,1.0,0.0671875,0.5,0.10416666666666667,0.1,0.07692307692307693,0.0,0.0
24,0.09942004971002485,0.1104014598540146,0.0,1.0,0.06875,0.5,0.10416666666666667,0.1,0.07692307692307693,0.0,0.0
25,0.1035625517812759,0.11678832116788321,0.0,1.0,0.0703125,0.9,0.1875,0.1,0.07692307692307693,0.0,0.0
26,0.10770505385252693,0.12317518248175183,0.0,1.0,0.0796875,0.9,0.1875,0.1,0.07692307692307693,0.0,0.0
27,0.11184755592377796,0.12864963503649635,0.0,1.0,0.0875,0.9,0.1875,0.1,0.07692307692307693,0.0,0.0
28,0.115990057995029,0.13047445255474452,0.0,1.0,0.0875,0.9,0.1875,0.1,0.07692307692307693,0.0,0.0
29,0.12013256006628004,0.13412408759124086,0.0,1.0,0.0890625,0.9,0.1875,0.1,0.07692307692307693,0.0,0.0
30,0.12427506213753108,0.14051094890510948,0.0,1.0,0.0921875,0.9,0.1875,0.2,0.15384615384615385,0.0,0.0
31,0.12841756420878211,0.14416058394160583,0.0,1.0,0.096875,0.9,0.1875,0.2,0.15384615384615385,0.0,0.0
32,0.13256006628003314,0.1468978102189781,0.0,1.0,0.1015625,0.9,0.1875,0.2,0.15384615384615385,0.0,0.0
