Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.003925417075564278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.005888125613346418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.009813542688910697,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.017664376840039256,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.022571148184494603,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.02747791952894995,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.0323846908734053,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.03532875368007851,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.03925417075564279,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04170837504170837,0.045142296368989206,0.0,0.1,0.006578947368421052,0.1,0.034482758620689655,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
11,0.04587921254587921,0.05299313052011776,0.0,0.1,0.006578947368421052,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
12,0.05005005005005005,0.05789990186457311,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
13,0.05422088755422089,0.06280667320902845,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
14,0.05839172505839173,0.07065750736015702,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
15,0.06256256256256257,0.07360157016683022,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
16,0.0667334000667334,0.08145240431795878,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.1,0.011494252873563218,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
17,0.07090423757090424,0.08439646712463199,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.2,0.022988505747126436,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
18,0.07507507507507508,0.09126594700686948,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.2,0.022988505747126436,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
19,0.07924591257924592,0.09617271835132483,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.2,0.022988505747126436,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
20,0.08341675008341674,0.10794896957801767,0.0,0.2,0.013157894736842105,0.2,0.06896551724137931,0.0,0.0,0.2,0.022988505747126436,0.4,0.3076923076923077,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
