Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004148000663680106,0.0034770514603616135,0.0,0.1,0.0011210762331838565,0.0,0.0,0.0,0.0
2,0.008296001327360213,0.012517385257301807,0.0,1.0,0.01569506726457399,0.0,0.0,0.0,0.0
3,0.012444001991040319,0.022253129346314324,0.0,1.0,0.030269058295964126,0.0,0.0,0.0,0.0
4,0.016592002654720425,0.02851182197496523,0.0,1.0,0.033632286995515695,0.0,0.0,0.1,0.1
5,0.02074000331840053,0.03546592489568846,0.0,1.0,0.03699551569506727,0.2,0.14285714285714285,0.1,0.1
6,0.024888003982080638,0.0458970792767733,0.0,1.0,0.042600896860986545,0.2,0.14285714285714285,0.2,0.2
7,0.029036004645760744,0.05354659248956885,0.0,1.0,0.04820627802690583,0.2,0.14285714285714285,0.2,0.2
8,0.03318400530944085,0.06258692628650904,0.0,1.0,0.05493273542600897,0.2,0.14285714285714285,0.3,0.3
9,0.03733200597312095,0.06954102920723226,0.0,1.0,0.06053811659192825,0.2,0.14285714285714285,0.3,0.3
10,0.04148000663680106,0.07579972183588317,0.0,1.0,0.06726457399103139,0.2,0.14285714285714285,0.3,0.3
11,0.045628007300481166,0.08344923504867872,0.0,1.0,0.0773542600896861,0.2,0.14285714285714285,0.3,0.3
12,0.049776007964161276,0.08831710709318498,0.0,1.0,0.08295964125560538,0.2,0.14285714285714285,0.3,0.3
13,0.05392400862784138,0.09874826147426982,0.0,1.0,0.09753363228699552,0.2,0.14285714285714285,0.4,0.4
14,0.05807200929152149,0.1070931849791377,0.0,1.0,0.10986547085201794,0.2,0.14285714285714285,0.4,0.4
15,0.06222000995520159,0.1168289290681502,0.3333333333333333,1.0,0.12443946188340807,0.2,0.14285714285714285,0.5,0.5
16,0.0663680106188817,0.12308762169680111,0.3333333333333333,1.0,0.13452914798206278,0.2,0.14285714285714285,0.5,0.5
17,0.07051601128256181,0.1258692628650904,0.3333333333333333,1.0,0.13565022421524664,0.3,0.21428571428571427,0.5,0.5
18,0.0746640119462419,0.12934631432545202,0.3333333333333333,1.0,0.1367713004484305,0.3,0.21428571428571427,0.5,0.5
19,0.07881201260992202,0.13421418636995827,0.3333333333333333,1.0,0.14013452914798205,0.3,0.21428571428571427,0.5,0.5
20,0.08296001327360213,0.1356050069541029,0.3333333333333333,1.0,0.1412556053811659,0.3,0.21428571428571427,0.5,0.5
21,0.08710801393728224,0.1383866481223922,0.3333333333333333,1.0,0.1412556053811659,0.4,0.2857142857142857,0.5,0.5
