Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
39,0.16334394370916402,0.15491329479768787,0.0,0.1,0.1,1.0,0.2127659574468085,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
40,0.16753224995811694,0.15606936416184972,0.0,0.1,0.1,1.0,0.2127659574468085,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
41,0.17172055620706986,0.16416184971098266,0.0,0.1,0.1,1.0,0.23404255319148937,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
42,0.17590886245602277,0.1676300578034682,0.0,0.1,0.1,1.0,0.23404255319148937,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
43,0.18009716870497572,0.17109826589595376,0.0,0.1,0.1,1.0,0.2765957446808511,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
44,0.18428547495392864,0.1745664739884393,0.0,0.1,0.1,1.0,0.2765957446808511,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
45,0.18847378120288155,0.17572254335260115,0.0,0.1,0.1,1.0,0.2978723404255319,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
46,0.19266208745183447,0.1791907514450867,0.0,0.1,0.1,1.0,0.2978723404255319,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.2,0.07407407407407407,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
47,0.1968503937007874,0.18265895953757225,0.0,0.1,0.1,1.0,0.2978723404255319,0.1,0.1,0.2,0.14285714285714285,0.2,0.2,0.1,0.07142857142857142,0.3,0.1111111111111111,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.09090909090909091
48,0.20103869994974033,0.18959537572254334,0.0,0.1,0.1,1.0,0.3191489361702128,0.1,0.1,0.3,0.21428571428571427,0.2,0.2,0.1,0.07142857142857142,0.3,0.1111111111111111,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.18181818181818182
49,0.20522700619869325,0.1976878612716763,0.0,0.2,0.2,1.0,0.3191489361702128,0.1,0.1,0.3,0.21428571428571427,0.2,0.2,0.1,0.07142857142857142,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.18181818181818182
50,0.20941531244764616,0.20115606936416186,0.0,0.2,0.2,1.0,0.3191489361702128,0.1,0.1,0.3,0.21428571428571427,0.2,0.2,0.1,0.07142857142857142,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.18181818181818182
51,0.2136036186965991,0.20809248554913296,0.0,0.2,0.2,1.0,0.3191489361702128,0.1,0.1,0.3,0.21428571428571427,0.2,0.2,0.1,0.07142857142857142,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.18181818181818182
52,0.21779192494555202,0.21502890173410405,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.2,0.2,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.18181818181818182
53,0.22198023119450494,0.2184971098265896,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.2,0.2,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.18181818181818182
54,0.22616853744345786,0.2208092485549133,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.2,0.2,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.18181818181818182
55,0.2303568436924108,0.2254335260115607,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
56,0.23454514994136372,0.2277456647398844,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
57,0.23873345619031663,0.23121387283236994,0.0,0.2,0.2,1.0,0.3191489361702128,0.3,0.3,0.3,0.21428571428571427,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
58,0.24292176243926955,0.23815028901734103,0.0,0.2,0.2,1.0,0.3404255319148936,0.4,0.4,0.3,0.21428571428571427,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
59,0.2471100686882225,0.24277456647398843,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
60,0.2512983749371754,0.24277456647398843,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
61,0.25548668118612833,0.24739884393063583,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
62,0.2596749874350813,0.2508670520231214,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.2727272727272727
63,0.26386329368403416,0.25549132947976877,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.36363636363636365
64,0.2680515999329871,0.261271676300578,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.4,0.2857142857142857,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.36363636363636365
65,0.27223990618194005,0.2658959537572254,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.36363636363636365
66,0.27642821243089294,0.27167630057803466,0.0,0.3,0.3,1.0,0.3404255319148936,0.4,0.4,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.36363636363636365
67,0.2806165186798459,0.2751445086705202,0.0,0.3,0.3,1.0,0.3404255319148936,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.36363636363636365
68,0.28480482492879877,0.2786127167630058,0.0,0.3,0.3,1.0,0.3404255319148936,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.5,0.45454545454545453
69,0.2889931311777517,0.2832369942196532,0.0,0.3,0.3,1.0,0.3404255319148936,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.5,0.45454545454545453
70,0.29318143742670466,0.2878612716763006,0.0,0.3,0.3,1.0,0.3404255319148936,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.5,0.45454545454545453
71,0.29736974367565755,0.2947976878612717,0.0,0.3,0.3,1.0,0.3829787234042553,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
72,0.3015580499246105,0.29826589595375724,0.0,0.3,0.3,1.0,0.3829787234042553,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.4,0.14814814814814814,0.2,0.2,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
73,0.30574635617356344,0.3063583815028902,0.0,0.3,0.3,1.0,0.3829787234042553,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
74,0.3099346624225163,0.31213872832369943,0.0,0.3,0.3,1.0,0.40425531914893614,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
75,0.31412296867146927,0.31445086705202313,0.0,0.3,0.3,1.0,0.40425531914893614,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
