Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected)
1,0.004153513872736335,0.0011560693641618498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00830702774547267,0.003468208092485549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012460541618209005,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01661405549094534,0.011560693641618497,0.0,0.0,0.0,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020767569363681675,0.016184971098265895,0.0,0.0,0.0,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02492108323641801,0.020809248554913295,0.0,0.0,0.0,0.2,0.09523809523809523,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029074597109154346,0.025433526011560695,0.0,0.0,0.0,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03322811098189068,0.03121387283236994,0.0,0.0,0.0,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03738162485462702,0.03352601156069364,0.0,0.0,0.0,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0
10,0.04153513872736335,0.03815028901734104,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0
11,0.04568865260009968,0.04046242774566474,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0
12,0.04984216647283602,0.04508670520231214,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0
13,0.05399568034557235,0.048554913294797684,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.1,0.09090909090909091,0.0,0.0
14,0.05814919421830869,0.05086705202312139,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.1,0.09090909090909091,0.0,0.0
15,0.062302708091045024,0.05202312138728324,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.1,0.09090909090909091,0.0,0.0
16,0.06645622196378136,0.057803468208092484,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.1,0.09090909090909091,0.0,0.0
17,0.0706097358365177,0.06242774566473988,0.0,0.1,0.029411764705882353,0.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.0,0.0,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
18,0.07476324970925403,0.06820809248554913,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.1,0.05555555555555555,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
19,0.07891676358199036,0.07398843930635839,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
20,0.0830702774547267,0.07745664739884393,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
21,0.08722379132746304,0.08092485549132948,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
22,0.09137730520019936,0.08208092485549133,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.0,0.0
23,0.0955308190729357,0.08786127167630058,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.1,0.041666666666666664
24,0.09968433294567204,0.09248554913294797,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.1,0.041666666666666664
25,0.10383784681840838,0.09595375722543352,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.2,0.18181818181818182,0.1,0.041666666666666664
26,0.1079913606911447,0.09826589595375723,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.3,0.2727272727272727,0.1,0.041666666666666664
27,0.11214487456388104,0.10057803468208093,0.0,0.1,0.029411764705882353,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.4,0.36363636363636365,0.1,0.041666666666666664
28,0.11629838843661738,0.10404624277456648,0.0,0.2,0.058823529411764705,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.1,0.03333333333333333,0.4,0.36363636363636365,0.1,0.041666666666666664
29,0.12045190230935371,0.11213872832369942,0.0,0.2,0.058823529411764705,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
30,0.12460541618209005,0.11213872832369942,0.0,0.2,0.058823529411764705,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
31,0.1287589300548264,0.12023121387283237,0.0,0.3,0.08823529411764706,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.2,0.1111111111111111,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
32,0.1329124439275627,0.12716763005780346,0.0,0.3,0.08823529411764706,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.3,0.16666666666666666,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
33,0.13706595780029907,0.13179190751445086,0.0,0.5,0.14705882352941177,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.3,0.16666666666666666,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
34,0.1412194716730354,0.13988439306358383,0.0,0.5,0.14705882352941177,0.4,0.19047619047619047,0.0,0.0,0.0,0.0,0.2,0.18181818181818182,0.3,0.16666666666666666,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
35,0.14537298554577172,0.14335260115606938,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.0,0.0,0.2,0.18181818181818182,0.4,0.2222222222222222,0.2,0.06666666666666667,0.4,0.36363636363636365,0.1,0.041666666666666664
36,0.14952649941850807,0.14566473988439307,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.0,0.0,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.4,0.36363636363636365,0.1,0.041666666666666664
37,0.1536800132912444,0.15028901734104047,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.0,0.0,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.1,0.041666666666666664
38,0.15783352716398072,0.15838150289017341,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.1,0.041666666666666664
39,0.16198704103671707,0.1630057803468208,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.1,0.041666666666666664
40,0.1661405549094534,0.1699421965317919,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
41,0.17029406878218972,0.17341040462427745,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
42,0.17444758265492608,0.176878612716763,0.0,0.5,0.14705882352941177,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
43,0.1786010965276624,0.1815028901734104,0.0,0.6,0.17647058823529413,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
44,0.18275461040039873,0.1861271676300578,0.0,0.6,0.17647058823529413,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
45,0.18690812427313508,0.1907514450867052,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
46,0.1910616381458714,0.19537572254335261,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
47,0.19521515201860773,0.19653179190751446,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.3,0.1,0.5,0.45454545454545453,0.2,0.08333333333333333
48,0.19936866589134408,0.20115606936416186,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.4,0.13333333333333333,0.6,0.5454545454545454,0.2,0.08333333333333333
49,0.2035221797640804,0.2046242774566474,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.4,0.13333333333333333,0.6,0.5454545454545454,0.2,0.08333333333333333
50,0.20767569363681676,0.2115606936416185,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.6,0.2,0.6,0.5454545454545454,0.2,0.08333333333333333
51,0.21182920750955309,0.21271676300578035,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.1,0.07142857142857142,0.2,0.18181818181818182,0.4,0.2222222222222222,0.6,0.2,0.6,0.5454545454545454,0.2,0.08333333333333333
52,0.2159827213822894,0.21734104046242775,0.0,0.7,0.20588235294117646,0.5,0.23809523809523808,0.0,0.0,0.2,0.14285714285714285,0.3,0.2727272727272727,0.4,0.2222222222222222,0.6,0.2,0.6,0.5454545454545454,0.3,0.125
53,0.22013623525502576,0.223121387283237,0.0,0.8,0.23529411764705882,0.6,0.2857142857142857,0.0,0.0,0.2,0.14285714285714285,0.3,0.2727272727272727,0.4,0.2222222222222222,0.6,0.2,0.6,0.5454545454545454,0.3,0.125
54,0.2242897491277621,0.2277456647398844,0.0,0.8,0.23529411764705882,0.7,0.3333333333333333,0.0,0.0,0.2,0.14285714285714285,0.3,0.2727272727272727,0.4,0.2222222222222222,0.6,0.2,0.6,0.5454545454545454,0.3,0.125
55,0.22844326300049841,0.23583815028901733,0.0,0.9,0.2647058823529412,0.7,0.3333333333333333,0.0,0.0,0.2,0.14285714285714285,0.4,0.36363636363636365,0.5,0.2777777777777778,0.6,0.2,0.6,0.5454545454545454,0.3,0.125
56,0.23259677687323477,0.23583815028901733,0.0,0.9,0.2647058823529412,0.7,0.3333333333333333,0.0,0.0,0.2,0.14285714285714285,0.4,0.36363636363636365,0.5,0.2777777777777778,0.6,0.2,0.6,0.5454545454545454,0.3,0.125
