Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.004086970737289521,0.0026019080659150044,0.0,0.3,0.004143646408839779,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008173941474579042,0.006071118820468344,0.0,0.5,0.006906077348066298,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012260912211868563,0.009540329575021683,0.0,0.8,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016347882949158083,0.015611448395490026,0.0,1.0,0.019337016574585635,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020434853686447606,0.01647875108412836,0.0,1.0,0.019337016574585635,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024521824423737126,0.019080659150043366,0.0,1.0,0.022099447513812154,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028608795161026646,0.02515177797051171,0.0,1.0,0.03038674033149171,0.0,0.0,0.0,0.0,0.0,0.0
8,0.032695765898316166,0.030355594102341718,0.0,1.0,0.03729281767955801,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03678273663560569,0.033824804856895055,0.0,1.0,0.04281767955801105,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04086970737289521,0.03902862098872507,0.0,1.0,0.04696132596685083,0.1,0.02127659574468085,0.0,0.0,0.0,0.0
11,0.04495667811018473,0.040763226366001735,0.0,1.0,0.04696132596685083,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
12,0.04904364884747425,0.045099739809193407,0.0,1.0,0.052486187845303865,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
13,0.053130619584763776,0.04856895056374675,0.0,1.0,0.055248618784530384,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
14,0.05721759032205329,0.053772766695576756,0.0,1.0,0.05939226519337017,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
15,0.061304561059342816,0.05897658282740677,0.0,1.0,0.06629834254143646,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
16,0.06539153179663233,0.060711188204683436,0.0,1.0,0.06767955801104972,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
17,0.06947850253392186,0.06678230702515178,0.0,1.0,0.07458563535911603,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
18,0.07356547327121138,0.07111882046834345,0.0,1.0,0.08149171270718232,0.2,0.0425531914893617,0.0,0.0,0.0,0.0
19,0.0776524440085009,0.07805724197745013,0.0,1.0,0.08839779005524862,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
20,0.08173941474579043,0.08412836079791847,0.0,1.0,0.09392265193370165,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
21,0.08582638548307994,0.08846487424111014,0.0,1.0,0.09944751381215469,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
22,0.08991335622036946,0.09366869037294015,0.0,1.0,0.106353591160221,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
23,0.09400032695765899,0.09540329575021683,0.0,1.0,0.10911602209944751,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
24,0.0980872976949485,0.0971379011274935,0.0,1.0,0.11187845303867404,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
25,0.10217426843223802,0.10060711188204684,0.0,1.0,0.11602209944751381,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
26,0.10626123916952755,0.10407632263660017,0.0,1.0,0.12016574585635359,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
27,0.11034820990681707,0.10754553339115351,0.0,1.0,0.12430939226519337,0.3,0.06382978723404255,0.0,0.0,0.0,0.0
28,0.11443518064410658,0.11188204683434519,0.0,1.0,0.1298342541436464,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
29,0.11852215138139612,0.11535125758889853,0.0,1.0,0.13259668508287292,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
30,0.12260912211868563,0.11795316565481354,0.0,1.0,0.13397790055248618,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
31,0.12669609285597516,0.12142237640936687,0.0,1.0,0.13812154696132597,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
32,0.13078306359326466,0.12402428447528187,0.0,1.0,0.13950276243093923,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
33,0.1348700343305542,0.13009540329575023,0.0,1.0,0.143646408839779,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
34,0.13895700506784373,0.1370338248048569,0.0,1.0,0.15193370165745856,0.4,0.0851063829787234,0.0,0.0,0.0,0.0
35,0.14304397580513323,0.1422376409366869,0.0,1.0,0.15469613259668508,0.4,0.0851063829787234,0.1,0.09090909090909091,0.0,0.0
36,0.14713094654242276,0.1491760624457936,0.0,1.0,0.16160220994475138,0.4,0.0851063829787234,0.1,0.09090909090909091,0.1,0.1
37,0.1512179172797123,0.15437987857762359,0.0,1.0,0.16574585635359115,0.4,0.0851063829787234,0.1,0.09090909090909091,0.1,0.1
38,0.1553048880170018,0.16045099739809193,0.0,1.0,0.1712707182320442,0.5,0.10638297872340426,0.1,0.09090909090909091,0.1,0.1
39,0.15939185875429132,0.16305290546400694,0.0,1.0,0.17265193370165746,0.5,0.10638297872340426,0.1,0.09090909090909091,0.1,0.1
40,0.16347882949158085,0.16565481352992195,0.0,1.0,0.17679558011049723,0.5,0.10638297872340426,0.1,0.09090909090909091,0.1,0.1
41,0.16756580022887035,0.17346053772766695,0.0,1.0,0.18370165745856354,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
42,0.17165277096615988,0.17779705117085862,0.0,1.0,0.18922651933701656,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
43,0.17573974170344941,0.18473547267996532,0.0,1.0,0.19889502762430938,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
44,0.17982671244073892,0.18907198612315698,0.0,1.0,0.20165745856353592,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
45,0.18391368317802845,0.19340849956634865,0.25,1.0,0.2058011049723757,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
46,0.18800065391531798,0.19774501300954034,0.25,1.0,0.21132596685082872,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
47,0.19208762465260748,0.20294882914137033,0.25,1.0,0.21823204419889503,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
48,0.196174595389897,0.20381613183000868,0.25,1.0,0.21961325966850828,0.7,0.14893617021276595,0.1,0.09090909090909091,0.1,0.1
49,0.20026156612718654,0.21075455333911536,0.25,1.0,0.22513812154696133,0.8,0.1702127659574468,0.1,0.09090909090909091,0.1,0.1
