Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004133597883597883,0.0009891196834817012,0.0,0.1,0.001610305958132045,0.0,0.0,0.0,0.0
2,0.008267195767195767,0.002967359050445104,0.0,0.2,0.00322061191626409,0.0,0.0,0.0,0.0
3,0.01240079365079365,0.006923837784371909,0.0,0.4,0.00644122383252818,0.0,0.0,0.0,0.0
4,0.016534391534391533,0.011869436201780416,0.0,0.7,0.011272141706924315,0.0,0.0,0.0,0.0
5,0.02066798941798942,0.013847675568743818,0.0,0.9,0.014492753623188406,0.0,0.0,0.0,0.0
6,0.0248015873015873,0.01483679525222552,0.0,1.0,0.01610305958132045,0.0,0.0,0.0,0.0
7,0.028935185185185185,0.016815034619188922,0.0,1.0,0.01932367149758454,0.0,0.0,0.0,0.0
8,0.03306878306878307,0.016815034619188922,0.0,1.0,0.01932367149758454,0.0,0.0,0.0,0.0
9,0.03720238095238095,0.02373887240356083,0.0,1.0,0.027375201288244767,0.0,0.0,0.0,0.0
10,0.04133597883597884,0.026706231454005934,0.0,1.0,0.0322061191626409,0.0,0.0,0.0,0.0
11,0.04546957671957672,0.03066271018793274,0.0,1.0,0.037037037037037035,0.0,0.0,0.0,0.0
12,0.0496031746031746,0.032640949554896145,0.0,1.0,0.03864734299516908,0.0,0.0,0.0,0.0
13,0.053736772486772486,0.03857566765578635,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.0
14,0.05787037037037037,0.043521266073194856,0.0,1.0,0.04669887278582931,0.0,0.0,0.0,0.0
15,0.062003968253968256,0.04648862512363996,0.0,1.0,0.0499194847020934,0.0,0.0,0.0,0.0
16,0.06613756613756613,0.04945598417408507,0.0,1.0,0.05152979066022544,0.1,0.03125,0.0,0.0
17,0.07027116402116403,0.051434223541048464,0.0,1.0,0.05475040257648953,0.1,0.03125,0.0,0.0
18,0.0744047619047619,0.05341246290801187,0.0,1.0,0.05636070853462158,0.1,0.03125,0.0,0.0
19,0.07853835978835978,0.058358061325420374,0.0,1.0,0.05958132045088567,0.2,0.0625,0.0,0.0
20,0.08267195767195767,0.06132542037586548,0.0,1.0,0.061191626409017714,0.2,0.0625,0.0,0.0
21,0.08680555555555555,0.06429277942631058,0.0,1.0,0.06602254428341385,0.2,0.0625,0.0,0.0
22,0.09093915343915344,0.06923837784371908,0.0,1.0,0.07085346215780998,0.2,0.0625,0.0,0.0
23,0.09507275132275132,0.0722057368941642,0.0,1.0,0.07246376811594203,0.2,0.0625,0.0,0.0
24,0.0992063492063492,0.076162215628091,0.0,1.0,0.07568438003220612,0.2,0.0625,0.0,0.0
25,0.10333994708994709,0.0791295746785361,0.0,1.0,0.08051529790660225,0.2,0.0625,0.0,0.0
26,0.10747354497354497,0.08011869436201781,0.0,1.0,0.08051529790660225,0.2,0.0625,0.0,0.0
27,0.11160714285714286,0.0820969337289812,0.0,1.0,0.08373590982286634,0.2,0.0625,0.0,0.0
28,0.11574074074074074,0.08506429277942631,0.0,1.0,0.0853462157809984,0.2,0.0625,0.0,0.0
29,0.11987433862433862,0.08704253214638971,0.0,1.0,0.08695652173913043,0.3,0.09375,0.0,0.0
30,0.12400793650793651,0.09099901088031652,0.0,1.0,0.09178743961352658,0.3,0.09375,0.0,0.0
31,0.1281415343915344,0.09297725024727992,0.0,1.0,0.09339774557165861,0.3,0.09375,0.0,0.0
32,0.13227513227513227,0.09396636993076163,0.0,1.0,0.09339774557165861,0.3,0.09375,0.0,0.0
33,0.13640873015873015,0.10089020771513353,0.0,1.0,0.0998389694041868,0.4,0.125,0.0,0.0
34,0.14054232804232805,0.10583580613254204,0.0,1.0,0.10628019323671498,0.4,0.125,0.0,0.0
35,0.14467592592592593,0.10880316518298715,0.0,1.0,0.10628019323671498,0.4,0.125,0.0,0.0
36,0.1488095238095238,0.11177052423343224,0.0,1.0,0.10628019323671498,0.4,0.125,0.0,0.0
37,0.1529431216931217,0.11473788328387735,0.0,1.0,0.1111111111111111,0.4,0.125,0.0,0.0
38,0.15707671957671956,0.11770524233432245,0.0,1.0,0.1143317230273752,0.4,0.125,0.0,0.0
39,0.16121031746031747,0.11968348170128586,0.0,1.0,0.11755233494363929,0.4,0.125,0.0,0.0
40,0.16534391534391535,0.12363996043521266,0.0,1.0,0.12238325281803543,0.5,0.15625,0.0,0.0
41,0.16947751322751323,0.12759643916913946,0.0,1.0,0.12399355877616747,0.5,0.15625,0.0,0.0
42,0.1736111111111111,0.12957467853610286,0.0,1.0,0.12560386473429952,0.5,0.15625,0.0,0.0
43,0.17774470899470898,0.13254203758654798,0.0,1.0,0.1288244766505636,0.5,0.15625,0.0,0.0
44,0.1818783068783069,0.13748763600395647,0.0,1.0,0.13043478260869565,0.5,0.15625,0.0,0.0
45,0.18601190476190477,0.142433234421365,0.0,1.0,0.13365539452495975,0.6,0.1875,0.0,0.0
46,0.19014550264550265,0.14638971315529178,0.0,1.0,0.13848631239935588,0.6,0.1875,0.0,0.0
47,0.19427910052910052,0.1493570722057369,0.0,1.0,0.14009661835748793,0.6,0.1875,0.0,0.0
48,0.1984126984126984,0.1533135509396637,0.0,1.0,0.143317230273752,0.7,0.21875,0.0,0.0
49,0.2025462962962963,0.1562809099901088,0.0,1.0,0.14653784219001612,0.7,0.21875,0.0,0.0
50,0.20667989417989419,0.16122650840751732,0.0,1.0,0.1529790660225443,0.7,0.21875,0.0,0.0
51,0.21081349206349206,0.1632047477744807,0.0,1.0,0.15458937198067632,0.7,0.21875,0.0,0.0
52,0.21494708994708994,0.1681503461918892,0.0,1.0,0.15942028985507245,0.7,0.21875,0.0,0.0
53,0.21908068783068782,0.17210682492581603,0.0,1.0,0.16264090177133655,0.7,0.21875,0.0,0.0
54,0.22321428571428573,0.17606330365974282,0.0,1.0,0.16586151368760063,0.7,0.21875,0.0,0.0
55,0.2273478835978836,0.18100890207715134,0.0,1.0,0.16908212560386474,0.7,0.21875,0.0,0.0
56,0.23148148148148148,0.18496538081107813,0.0,1.0,0.17391304347826086,0.7,0.21875,0.0,0.0
57,0.23561507936507936,0.19188921859545005,0.0,1.0,0.18035426731078905,0.7,0.21875,0.0,0.0
58,0.23974867724867724,0.19980217606330367,0.0,1.0,0.19001610305958133,0.7,0.21875,0.0,0.0
59,0.24388227513227514,0.20771513353115728,0.0,1.0,0.20128824476650564,0.7,0.21875,0.0,0.0
60,0.24801587301587302,0.21562809099901087,0.0,1.0,0.20933977455716588,0.7,0.21875,0.0,0.0
61,0.2521494708994709,0.2205736894164194,0.0,1.0,0.214170692431562,0.8,0.25,0.0,0.0
62,0.2562830687830688,0.2215628090999011,0.0,1.0,0.21578099838969403,0.8,0.25,0.0,0.0
63,0.2604166666666667,0.2294757665677547,0.0,1.0,0.22705314009661837,0.8,0.25,0.0,0.0
64,0.26455026455026454,0.2324431256181998,0.0,1.0,0.23027375201288244,0.8,0.25,0.0,0.0
65,0.26868386243386244,0.23639960435212662,0.0,1.0,0.23510466988727857,0.8,0.25,0.0,0.0
66,0.2728174603174603,0.2423343224530168,0.0,1.0,0.23832528180354268,0.9,0.28125,0.0,0.0
67,0.2769510582010582,0.24727992087042533,0.0,1.0,0.2431561996779388,0.9,0.28125,0.1,0.1
68,0.2810846560846561,0.2512363996043521,0.0,1.0,0.24476650563607086,0.9,0.28125,0.1,0.1
69,0.28521825396825395,0.2542037586547972,0.0,1.0,0.24798711755233493,0.9,0.28125,0.1,0.1
70,0.28935185185185186,0.2561819980217606,0.0,1.0,0.25120772946859904,0.9,0.28125,0.1,0.1
71,0.2934854497354497,0.2591493570722057,0.0,1.0,0.2560386473429952,0.9,0.28125,0.1,0.1
72,0.2976190476190476,0.26409495548961426,0.0,1.0,0.26247987117552335,0.9,0.28125,0.1,0.1
73,0.3017526455026455,0.26805143422354105,0.0,1.0,0.2673107890499195,0.9,0.28125,0.1,0.1
74,0.3058862433862434,0.27497527200791294,0.3333333333333333,1.0,0.2753623188405797,1.0,0.3125,0.1,0.1
75,0.3100198412698413,0.27695351137487634,0.3333333333333333,1.0,0.27697262479871176,1.0,0.3125,0.1,0.1
76,0.31415343915343913,0.2828882294757666,0.3333333333333333,1.0,0.28502415458937197,1.0,0.3125,0.1,0.1
77,0.31828703703703703,0.2858555885262117,0.3333333333333333,1.0,0.2882447665056361,1.0,0.34375,0.1,0.1
78,0.32242063492063494,0.29376854599406527,0.3333333333333333,1.0,0.2946859903381642,1.0,0.34375,0.1,0.1
79,0.3265542328042328,0.29574678536102866,0.3333333333333333,1.0,0.29790660225442833,1.0,0.34375,0.1,0.1
80,0.3306878306878307,0.3026706231454006,0.3333333333333333,1.0,0.3059581320450886,1.0,0.34375,0.1,0.1
81,0.33482142857142855,0.3056379821958457,0.3333333333333333,1.0,0.30917874396135264,1.0,0.375,0.1,0.1
82,0.33895502645502645,0.3066271018793274,0.3333333333333333,1.0,0.3107890499194847,1.0,0.375,0.1,0.1
83,0.34308862433862436,0.3066271018793274,0.3333333333333333,1.0,0.3107890499194847,1.0,0.375,0.1,0.1
84,0.3472222222222222,0.3105835806132542,0.3333333333333333,1.0,0.3107890499194847,1.0,0.375,0.1,0.1
85,0.3513558201058201,0.3155291790306627,0.3333333333333333,1.0,0.3140096618357488,1.0,0.375,0.1,0.1
86,0.35548941798941797,0.32146389713155293,0.3333333333333333,1.0,0.3188405797101449,1.0,0.40625,0.1,0.1
87,0.35962301587301587,0.3254203758654797,0.3333333333333333,1.0,0.32045088566827695,1.0,0.40625,0.1,0.1
88,0.3637566137566138,0.3303659742828882,0.3333333333333333,1.0,0.32367149758454106,1.0,0.40625,0.1,0.1
89,0.36789021164021163,0.33728981206726016,0.3333333333333333,1.0,0.3285024154589372,1.0,0.4375,0.1,0.1
90,0.37202380952380953,0.34025717111770526,0.3333333333333333,1.0,0.33011272141706927,1.0,0.46875,0.1,0.1
91,0.3761574074074074,0.34520276953511375,0.3333333333333333,1.0,0.33494363929146537,1.0,0.46875,0.1,0.1
92,0.3802910052910053,0.34619188921859545,0.3333333333333333,1.0,0.33494363929146537,1.0,0.46875,0.1,0.1
93,0.3844246031746032,0.35014836795252224,0.3333333333333333,1.0,0.3413848631239936,1.0,0.46875,0.1,0.1
94,0.38855820105820105,0.35410484668644904,0.3333333333333333,1.0,0.34299516908212563,1.0,0.46875,0.1,0.1
95,0.39269179894179895,0.3560830860534125,0.3333333333333333,1.0,0.3446054750402576,1.0,0.46875,0.1,0.1
96,0.3968253968253968,0.3600395647873393,0.3333333333333333,1.0,0.35104669887278583,1.0,0.46875,0.1,0.1
97,0.4009589947089947,0.3639960435212661,0.3333333333333333,1.0,0.355877616747182,1.0,0.46875,0.1,0.1
98,0.4050925925925926,0.36795252225519287,0.3333333333333333,1.0,0.3607085346215781,1.0,0.46875,0.1,0.1
99,0.40922619047619047,0.37091988130563797,0.3333333333333333,1.0,0.3639291465378422,1.0,0.46875,0.1,0.1
100,0.41335978835978837,0.3768545994065282,0.3333333333333333,1.0,0.3687600644122383,1.0,0.46875,0.1,0.1
101,0.4174933862433862,0.3798219584569733,0.3333333333333333,1.0,0.37359098228663445,1.0,0.46875,0.1,0.1
102,0.42162698412698413,0.3847675568743818,0.3333333333333333,1.0,0.3752012882447665,1.0,0.46875,0.1,0.1
103,0.42576058201058203,0.3877349159248269,0.3333333333333333,1.0,0.3784219001610306,1.0,0.46875,0.1,0.1
104,0.4298941798941799,0.390702274975272,0.3333333333333333,1.0,0.38003220611916266,1.0,0.46875,0.1,0.1
105,0.4340277777777778,0.39465875370919884,0.3333333333333333,1.0,0.3832528180354267,1.0,0.5,0.1,0.1
106,0.43816137566137564,0.39663699307616224,0.3333333333333333,1.0,0.3864734299516908,1.0,0.5,0.1,0.1
107,0.44229497354497355,0.4025717111770524,0.3333333333333333,1.0,0.394524959742351,1.0,0.5,0.1,0.1
108,0.44642857142857145,0.4045499505440158,0.3333333333333333,1.0,0.3977455716586151,1.0,0.5,0.1,0.1
109,0.4505621693121693,0.4114737883283877,0.3333333333333333,1.0,0.40096618357487923,1.0,0.5,0.1,0.1
110,0.4546957671957672,0.41444114737883286,0.3333333333333333,1.0,0.40096618357487923,1.0,0.5,0.1,0.1
111,0.45882936507936506,0.42136498516320475,0.3333333333333333,1.0,0.40901771336553944,1.0,0.5,0.1,0.1
