Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
14,0.05863628748534093,0.050833995234312944,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06282459373429385,0.05321683876092136,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
16,0.06701289998324678,0.05559968228752978,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
17,0.07120120623219969,0.06036536934074663,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
18,0.07538951248115262,0.0659253375694996,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07957781873010554,0.07227958697378872,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
20,0.08376612497905847,0.07386814932486101,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
21,0.08795443122801139,0.07704527402700556,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09214273747696432,0.08260524225575853,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
23,0.09633104372591723,0.08737092930897537,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
24,0.10051934997487016,0.09293089753772836,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
25,0.10470765622382308,0.09690230341540905,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
26,0.10889596247277601,0.09849086576648133,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
27,0.11308426872172893,0.10246227164416204,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
28,0.11727257497068186,0.10563939634630659,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.3,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
29,0.12146088121963478,0.1096108022239873,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
30,0.1256491874685877,0.11199364575059571,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
31,0.12983749371754064,0.11675933280381255,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
32,0.13402579996649355,0.11834789515488484,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
33,0.13821410621544647,0.1199364575059571,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
34,0.14240241246439939,0.1254964257347101,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
35,0.14659071871335233,0.12867355043685463,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
36,0.15077902496230525,0.13026211278792693,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
37,0.15496733121125816,0.13264495631453535,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.5,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
38,0.15915563746021108,0.13343923749007147,0.0,0.1,0.09090909090909091,0.2,0.008583690987124463,0.0,0.0,0.5,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
39,0.16334394370916402,0.13502779984114377,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.5,0.17857142857142858,0.1,0.05,0.0,0.0,0.0,0.0
40,0.16753224995811694,0.1374106433677522,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.5,0.17857142857142858,0.1,0.05,0.0,0.0,0.0,0.0
41,0.17172055620706986,0.14058776806989676,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.5,0.17857142857142858,0.1,0.05,0.0,0.0,0.0,0.0
42,0.17590886245602277,0.14455917394757745,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.5,0.17857142857142858,0.1,0.05,0.0,0.0,0.0,0.0
43,0.18009716870497572,0.1517077045274027,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.6,0.21428571428571427,0.1,0.05,0.0,0.0,0.0,0.0
44,0.18428547495392864,0.15647339158061954,0.0,0.1,0.09090909090909091,0.3,0.012875536480686695,0.0,0.0,0.6,0.21428571428571427,0.1,0.05,0.0,0.0,0.0,0.0
45,0.18847378120288155,0.16282764098490865,0.0,0.1,0.09090909090909091,0.4,0.017167381974248927,0.0,0.0,0.6,0.21428571428571427,0.1,0.05,0.0,0.0,0.0,0.0
46,0.19266208745183447,0.1675933280381255,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
47,0.1968503937007874,0.17394757744241462,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
48,0.20103869994974033,0.17791898332009531,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
49,0.20522700619869325,0.181890389197776,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
50,0.20941531244764616,0.187450357426529,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
51,0.2136036186965991,0.19062748212867356,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
52,0.21779192494555202,0.19301032565528198,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.7,0.25,0.1,0.05,0.1,0.1,0.0,0.0
53,0.22198023119450494,0.19698173153296267,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
54,0.22616853744345786,0.20015885623510724,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
55,0.2303568436924108,0.20254169976171565,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
56,0.23454514994136372,0.20492454328832407,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
57,0.23873345619031663,0.20889594916600476,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
58,0.24292176243926955,0.21286735504368545,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
59,0.2471100686882225,0.21445591739475775,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
60,0.2512983749371754,0.21683876092136617,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.0,0.0,0.8,0.2857142857142857,0.1,0.05,0.1,0.1,0.0,0.0
61,0.25548668118612833,0.22081016679904686,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.0,0.0,0.9,0.32142857142857145,0.1,0.05,0.1,0.1,0.0,0.0
62,0.2596749874350813,0.2255758538522637,0.0,0.1,0.09090909090909091,0.9,0.03862660944206009,0.1,0.037037037037037035,0.9,0.32142857142857145,0.1,0.05,0.1,0.1,0.0,0.0
63,0.26386329368403416,0.22795869737887212,0.0,0.1,0.09090909090909091,0.9,0.03862660944206009,0.1,0.037037037037037035,0.9,0.32142857142857145,0.1,0.05,0.1,0.1,0.0,0.0
64,0.2680515999329871,0.23113582208101668,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,0.9,0.32142857142857145,0.1,0.05,0.1,0.1,0.0,0.0
65,0.27223990618194005,0.23510722795869737,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,0.9,0.32142857142857145,0.1,0.05,0.1,0.1,0.0,0.0
66,0.27642821243089294,0.24066719618745036,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
67,0.2806165186798459,0.24463860206513105,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
68,0.28480482492879877,0.24622716441620335,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
69,0.2889931311777517,0.25019857029388404,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
70,0.29318143742670466,0.2549642573471009,0.0,0.1,0.09090909090909091,1.0,0.05150214592274678,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
71,0.29736974367565755,0.2565528196981732,0.0,0.1,0.09090909090909091,1.0,0.05150214592274678,0.2,0.07407407407407407,1.0,0.35714285714285715,0.1,0.05,0.1,0.1,0.0,0.0
72,0.3015580499246105,0.2597299444003177,0.0,0.1,0.09090909090909091,1.0,0.05150214592274678,0.2,0.07407407407407407,1.0,0.35714285714285715,0.2,0.1,0.1,0.1,0.0,0.0
