Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.004096346059315091,0.006505576208178439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008192692118630182,0.00929368029739777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012289038177945273,0.011152416356877323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016385384237260363,0.013011152416356878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020481730296575455,0.01486988847583643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024578076355890547,0.020446096654275093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028674422415205635,0.026022304832713755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03277076847452073,0.031598513011152414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
9,0.036867114533835815,0.03438661710037175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
10,0.04096346059315091,0.0362453531598513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
11,0.045059806652466,0.041821561338289966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
12,0.049156152711781094,0.04553903345724907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
13,0.05325249877109618,0.048327137546468404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
14,0.05734884483041127,0.05297397769516728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
15,0.061445190889726366,0.05855018587360595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
16,0.06554153694904145,0.062267657992565055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
17,0.06963788300835655,0.06412639405204461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
18,0.07373422906767163,0.06691449814126393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
19,0.07783057512698673,0.07156133828996282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
20,0.08192692118630182,0.0762081784386617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
21,0.08602326724561692,0.08271375464684015,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.1,0.058823529411764705
22,0.090119613304932,0.08550185873605948,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.1,0.058823529411764705
23,0.09421595936424709,0.09014869888475836,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.1,0.058823529411764705
24,0.09831230542356219,0.09758364312267657,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.1,0.058823529411764705
25,0.10240865148287727,0.10130111524163568,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.1,0.058823529411764705
26,0.10650499754219236,0.10687732342007435,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
27,0.11060134360150746,0.11152416356877323,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
28,0.11469768966082254,0.1171003717472119,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
29,0.11879403572013764,0.12267657992565056,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
30,0.12289038177945273,0.12546468401486988,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
31,0.12698672783876783,0.12825278810408922,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
32,0.1310830738980829,0.13104089219330856,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
33,0.135179419957398,0.13568773234200743,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
34,0.1392757660167131,0.14033457249070633,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.2,0.11764705882352941
35,0.14337211207602818,0.1412639405204461,0.0,0.0,0.0,0.1,0.022222222222222223,0.0,0.0,0.3,0.17647058823529413
36,0.14746845813534326,0.14591078066914498,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.3,0.17647058823529413
37,0.15156480419465837,0.15055762081784388,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.3,0.17647058823529413
38,0.15566115025397345,0.15520446096654275,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
39,0.15975749631328853,0.15892193308550187,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
40,0.16385384237260364,0.16171003717472118,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
41,0.16795018843191872,0.16356877323420074,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
42,0.17204653449123383,0.16449814126394052,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
43,0.1761428805505489,0.17100371747211895,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
44,0.180239226609864,0.17472118959107807,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
45,0.1843355726691791,0.17657992565055763,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
46,0.18843191872849419,0.18029739776951673,0.0,0.0,0.0,0.1,0.022222222222222223,0.1,0.012345679012345678,0.4,0.23529411764705882
47,0.19252826478780927,0.18494423791821563,0.0,0.1,0.019230769230769232,0.1,0.022222222222222223,0.2,0.024691358024691357,0.4,0.23529411764705882
48,0.19662461084712438,0.1895910780669145,0.0,0.1,0.019230769230769232,0.1,0.022222222222222223,0.2,0.024691358024691357,0.5,0.29411764705882354
