Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004148000663680106,0.0034770514603616135,0.0,0.3,0.0033632286995515697,0.0,0.0,0.0,0.0
2,0.008296001327360213,0.0076495132127955496,0.0,0.9,0.010089686098654708,0.0,0.0,0.0,0.0
3,0.012444001991040319,0.011821974965229486,0.0,1.0,0.016816143497757848,0.0,0.0,0.0,0.0
4,0.016592002654720425,0.01808066759388039,0.0,1.0,0.02466367713004484,0.0,0.0,0.0,0.0
5,0.02074000331840053,0.022253129346314324,0.0,1.0,0.03139013452914798,0.0,0.0,0.0,0.0
6,0.024888003982080638,0.03337969401947149,0.0,1.0,0.04596412556053812,0.0,0.0,0.0,0.0
7,0.029036004645760744,0.0368567454798331,0.0,1.0,0.05044843049327354,0.0,0.0,0.0,0.0
8,0.03318400530944085,0.04172461752433936,0.0,1.0,0.05493273542600897,0.0,0.0,0.0,0.0
9,0.03733200597312095,0.050764951321279554,0.0,1.0,0.061659192825112105,0.0,0.0,0.0,0.0
10,0.04148000663680106,0.057719054242002785,0.0,1.0,0.06950672645739911,0.0,0.0,0.0,0.0
11,0.045628007300481166,0.06536856745479833,0.0,1.0,0.07847533632286996,0.0,0.0,0.0,0.0
12,0.049776007964161276,0.07510431154381085,0.0,1.0,0.08744394618834081,0.0,0.0,0.0,0.0
13,0.05392400862784138,0.08414464534075104,0.0,1.0,0.09753363228699552,0.0,0.0,0.0,0.0
14,0.05807200929152149,0.08831710709318498,0.0,1.0,0.10201793721973094,0.0,0.0,0.0,0.0
15,0.06222000995520159,0.09735744089012517,0.0,1.0,0.11210762331838565,0.0,0.0,0.0,0.0
16,0.0663680106188817,0.10500695410292073,0.0,1.0,0.12331838565022421,0.0,0.0,0.0,0.0
17,0.07051601128256181,0.11265646731571627,0.3333333333333333,1.0,0.13565022421524664,0.0,0.0,0.0,0.0
