Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.004142502071251036,0.0036496350364963502,0.0,0.1,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008285004142502071,0.005474452554744526,0.0,0.2,0.003125,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012427506213753107,0.010036496350364963,0.0,0.6,0.009375,0.0,0.0,0.0,0.0,0.1,0.09090909090909091
4,0.016570008285004142,0.014598540145985401,0.0,0.6,0.009375,0.1,0.020833333333333332,0.0,0.0,0.1,0.09090909090909091
5,0.020712510356255178,0.017335766423357664,0.0,0.8,0.0125,0.1,0.020833333333333332,0.0,0.0,0.1,0.09090909090909091
6,0.024855012427506214,0.02645985401459854,0.0,1.0,0.0265625,0.1,0.020833333333333332,0.0,0.0,0.1,0.09090909090909091
7,0.02899751449875725,0.03375912408759124,0.0,1.0,0.0375,0.1,0.020833333333333332,0.0,0.0,0.1,0.09090909090909091
8,0.033140016570008285,0.04105839416058394,0.25,1.0,0.0484375,0.1,0.020833333333333332,0.0,0.0,0.1,0.09090909090909091
9,0.037282518641259324,0.04470802919708029,0.25,1.0,0.05,0.2,0.041666666666666664,0.0,0.0,0.1,0.09090909090909091
10,0.041425020712510356,0.04927007299270073,0.25,1.0,0.05,0.3,0.0625,0.0,0.0,0.1,0.09090909090909091
11,0.045567522783761395,0.05474452554744526,0.25,1.0,0.0546875,0.3,0.0625,0.0,0.0,0.1,0.09090909090909091
12,0.04971002485501243,0.058394160583941604,0.25,1.0,0.0546875,0.3,0.0625,0.0,0.0,0.1,0.09090909090909091
13,0.053852526926263466,0.06569343065693431,0.25,1.0,0.0578125,0.4,0.08333333333333333,0.0,0.0,0.1,0.09090909090909091
14,0.0579950289975145,0.07208029197080291,0.25,1.0,0.0578125,0.5,0.10416666666666667,0.0,0.0,0.1,0.09090909090909091
15,0.06213753106876554,0.07572992700729927,0.25,1.0,0.059375,0.5,0.10416666666666667,0.0,0.0,0.1,0.09090909090909091
16,0.06628003314001657,0.08485401459854014,0.25,1.0,0.0625,0.5,0.10416666666666667,0.0,0.0,0.1,0.09090909090909091
17,0.07042253521126761,0.08941605839416059,0.25,1.0,0.065625,0.5,0.10416666666666667,0.0,0.0,0.1,0.09090909090909091
18,0.07456503728251865,0.09762773722627738,0.25,1.0,0.0671875,0.6,0.125,0.0,0.0,0.1,0.09090909090909091
19,0.07870753935376967,0.1031021897810219,0.25,1.0,0.0703125,0.7,0.14583333333333334,0.0,0.0,0.1,0.09090909090909091
20,0.08285004142502071,0.10492700729927007,0.25,1.0,0.071875,0.7,0.14583333333333334,0.0,0.0,0.1,0.09090909090909091
21,0.08699254349627175,0.10857664233576643,0.25,1.0,0.075,0.8,0.16666666666666666,0.0,0.0,0.1,0.09090909090909091
22,0.09113504556752279,0.11496350364963503,0.25,1.0,0.0796875,0.8,0.16666666666666666,0.0,0.0,0.1,0.09090909090909091
23,0.09527754763877382,0.12226277372262774,0.25,1.0,0.08125,1.0,0.20833333333333334,0.0,0.0,0.1,0.09090909090909091
24,0.09942004971002485,0.12956204379562045,0.25,1.0,0.08125,1.0,0.25,0.1,0.07692307692307693,0.1,0.09090909090909091
25,0.1035625517812759,0.13594890510948904,0.25,1.0,0.0875,1.0,0.25,0.1,0.07692307692307693,0.1,0.09090909090909091
26,0.10770505385252693,0.1395985401459854,0.25,1.0,0.090625,1.0,0.2708333333333333,0.1,0.07692307692307693,0.1,0.09090909090909091
27,0.11184755592377796,0.14872262773722628,0.25,1.0,0.09375,1.0,0.2916666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
28,0.115990057995029,0.15602189781021897,0.25,1.0,0.0984375,1.0,0.2916666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
29,0.12013256006628004,0.16058394160583941,0.25,1.0,0.1015625,1.0,0.2916666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
30,0.12427506213753108,0.16697080291970803,0.25,1.0,0.10625,1.0,0.3333333333333333,0.1,0.07692307692307693,0.1,0.09090909090909091
31,0.12841756420878211,0.177007299270073,0.25,1.0,0.1109375,1.0,0.375,0.1,0.07692307692307693,0.1,0.09090909090909091
32,0.13256006628003314,0.17883211678832117,0.25,1.0,0.1125,1.0,0.375,0.1,0.07692307692307693,0.1,0.09090909090909091
33,0.13670256835128416,0.18065693430656934,0.25,1.0,0.1125,1.0,0.375,0.1,0.07692307692307693,0.1,0.09090909090909091
34,0.14084507042253522,0.1852189781021898,0.25,1.0,0.1125,1.0,0.375,0.1,0.07692307692307693,0.1,0.09090909090909091
35,0.14498757249378624,0.18795620437956204,0.25,1.0,0.1125,1.0,0.3958333333333333,0.1,0.07692307692307693,0.1,0.09090909090909091
36,0.1491300745650373,0.1906934306569343,0.25,1.0,0.1140625,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
37,0.15327257663628832,0.19616788321167883,0.25,1.0,0.11875,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
38,0.15741507870753935,0.1989051094890511,0.25,1.0,0.11875,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
39,0.1615575807787904,0.19981751824817517,0.25,1.0,0.11875,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
40,0.16570008285004142,0.20255474452554745,0.25,1.0,0.121875,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
41,0.16984258492129245,0.20346715328467152,0.25,1.0,0.121875,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
42,0.1739850869925435,0.2062043795620438,0.25,1.0,0.1234375,1.0,0.4166666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
43,0.17812758906379453,0.20985401459854014,0.25,1.0,0.125,1.0,0.4375,0.1,0.07692307692307693,0.1,0.09090909090909091
44,0.18227009113504558,0.21532846715328466,0.5,1.0,0.13125,1.0,0.4791666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
45,0.1864125932062966,0.21897810218978103,0.5,1.0,0.134375,1.0,0.4791666666666667,0.1,0.07692307692307693,0.1,0.09090909090909091
46,0.19055509527754763,0.22262773722627738,0.5,1.0,0.134375,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
47,0.19469759734879868,0.2271897810218978,0.5,1.0,0.1359375,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
48,0.1988400994200497,0.23448905109489052,0.5,1.0,0.1421875,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
49,0.20298260149130073,0.23996350364963503,0.5,1.0,0.1453125,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
50,0.2071251035625518,0.24452554744525548,0.5,1.0,0.1515625,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
51,0.2112676056338028,0.24726277372262773,0.5,1.0,0.153125,1.0,0.5,0.2,0.15384615384615385,0.1,0.09090909090909091
52,0.21541010770505387,0.25364963503649635,0.5,1.0,0.1578125,1.0,0.5208333333333334,0.3,0.23076923076923078,0.1,0.09090909090909091
53,0.2195526097763049,0.26094890510948904,0.5,1.0,0.1640625,1.0,0.5208333333333334,0.3,0.23076923076923078,0.1,0.09090909090909091
54,0.22369511184755592,0.2664233576642336,0.5,1.0,0.171875,1.0,0.5208333333333334,0.4,0.3076923076923077,0.1,0.09090909090909091
55,0.22783761391880697,0.270985401459854,0.5,1.0,0.1734375,1.0,0.5208333333333334,0.4,0.3076923076923077,0.1,0.09090909090909091
56,0.231980115990058,0.27645985401459855,0.5,1.0,0.1796875,1.0,0.5208333333333334,0.4,0.3076923076923077,0.1,0.09090909090909091
57,0.23612261806130902,0.28102189781021897,0.5,1.0,0.18125,1.0,0.5416666666666666,0.4,0.3076923076923077,0.1,0.09090909090909091
58,0.24026512013256007,0.28558394160583944,0.5,1.0,0.1890625,1.0,0.5416666666666666,0.4,0.3076923076923077,0.1,0.09090909090909091
59,0.2444076222038111,0.29014598540145986,0.5,1.0,0.19375,1.0,0.5416666666666666,0.4,0.3076923076923077,0.1,0.09090909090909091
60,0.24855012427506215,0.2965328467153285,0.5,1.0,0.2,1.0,0.5416666666666666,0.4,0.3076923076923077,0.1,0.09090909090909091
61,0.2526926263463132,0.3029197080291971,0.5,1.0,0.20625,1.0,0.5416666666666666,0.5,0.38461538461538464,0.1,0.09090909090909091
62,0.25683512841756423,0.3074817518248175,0.5,1.0,0.2109375,1.0,0.5416666666666666,0.5,0.38461538461538464,0.1,0.09090909090909091
63,0.2609776304888152,0.31204379562043794,0.5,1.0,0.215625,1.0,0.5416666666666666,0.5,0.38461538461538464,0.1,0.09090909090909091
64,0.2651201325600663,0.3193430656934307,0.5,1.0,0.21875,1.0,0.5416666666666666,0.7,0.5384615384615384,0.1,0.09090909090909091
65,0.26926263463131733,0.3239051094890511,0.5,1.0,0.221875,1.0,0.5416666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
66,0.27340513670256833,0.3312043795620438,0.5,1.0,0.2328125,1.0,0.5416666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
67,0.2775476387738194,0.333029197080292,0.5,1.0,0.234375,1.0,0.5416666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
68,0.28169014084507044,0.3357664233576642,0.5,1.0,0.2375,1.0,0.5416666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
69,0.28583264291632143,0.34215328467153283,0.5,1.0,0.240625,1.0,0.5833333333333334,0.8,0.6153846153846154,0.1,0.09090909090909091
70,0.2899751449875725,0.3476277372262774,0.5,1.0,0.2453125,1.0,0.6041666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
71,0.29411764705882354,0.3512773722627737,0.5,1.0,0.2484375,1.0,0.6041666666666666,0.8,0.6153846153846154,0.1,0.09090909090909091
72,0.2982601491300746,0.35492700729927007,0.5,1.0,0.25,1.0,0.625,0.8,0.6153846153846154,0.1,0.09090909090909091
73,0.3024026512013256,0.3585766423357664,0.5,1.0,0.253125,1.0,0.625,0.8,0.6153846153846154,0.1,0.09090909090909091
74,0.30654515327257664,0.36313868613138683,0.5,1.0,0.25625,1.0,0.625,0.8,0.6153846153846154,0.1,0.09090909090909091
75,0.3106876553438277,0.3658759124087591,0.5,1.0,0.259375,1.0,0.625,0.9,0.6923076923076923,0.1,0.09090909090909091
76,0.3148301574150787,0.3677007299270073,0.5,1.0,0.2625,1.0,0.625,0.9,0.6923076923076923,0.1,0.09090909090909091
77,0.31897265948632975,0.3704379562043796,0.5,1.0,0.265625,1.0,0.625,0.9,0.6923076923076923,0.1,0.09090909090909091
78,0.3231151615575808,0.3731751824817518,0.5,1.0,0.26875,1.0,0.625,0.9,0.6923076923076923,0.1,0.09090909090909091
79,0.3272576636288318,0.3759124087591241,0.5,1.0,0.271875,1.0,0.625,0.9,0.6923076923076923,0.1,0.09090909090909091
80,0.33140016570008285,0.38047445255474455,0.5,1.0,0.2734375,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
81,0.3355426677713339,0.3841240875912409,0.5,1.0,0.2765625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
82,0.3396851698425849,0.38503649635036497,0.5,1.0,0.2765625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
83,0.34382767191383595,0.3886861313868613,0.5,1.0,0.28125,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
84,0.347970173985087,0.3914233576642336,0.5,1.0,0.284375,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
85,0.352112676056338,0.3987226277372263,0.5,1.0,0.290625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
86,0.35625517812758906,0.4041970802919708,0.5,1.0,0.2984375,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
87,0.3603976801988401,0.40875912408759124,0.5,1.0,0.3046875,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
88,0.36454018227009116,0.4124087591240876,0.5,1.0,0.3109375,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
89,0.36868268434134216,0.41332116788321166,0.5,1.0,0.3125,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
90,0.3728251864125932,0.416970802919708,0.5,1.0,0.315625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
91,0.37696768848384427,0.4197080291970803,0.5,1.0,0.3171875,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
92,0.38111019055509526,0.42244525547445255,0.5,1.0,0.31875,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
93,0.3852526926263463,0.42974452554744524,0.5,1.0,0.3234375,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
94,0.38939519469759737,0.43704379562043794,0.5,1.0,0.3328125,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
95,0.39353769676884837,0.44343065693430656,0.5,1.0,0.3390625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
96,0.3976801988400994,0.44525547445255476,0.5,1.0,0.340625,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
97,0.40182270091135047,0.44799270072992703,0.5,1.0,0.3421875,1.0,0.6458333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
98,0.40596520298260147,0.4534671532846715,0.5,1.0,0.3453125,1.0,0.6666666666666666,0.9,0.6923076923076923,0.1,0.09090909090909091
99,0.4101077050538525,0.45711678832116787,0.5,1.0,0.3515625,1.0,0.6666666666666666,0.9,0.6923076923076923,0.1,0.09090909090909091
100,0.4142502071251036,0.4625912408759124,0.5,1.0,0.353125,1.0,0.7083333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
101,0.4183927091963546,0.46441605839416056,0.5,1.0,0.35625,1.0,0.7083333333333334,0.9,0.6923076923076923,0.1,0.09090909090909091
102,0.4225352112676056,0.46806569343065696,0.5,1.0,0.3609375,1.0,0.7291666666666666,0.9,0.6923076923076923,0.1,0.09090909090909091
103,0.4266777133388567,0.4717153284671533,0.5,1.0,0.3640625,1.0,0.7291666666666666,1.0,0.7692307692307693,0.1,0.09090909090909091
104,0.43082021541010773,0.4762773722627737,0.75,1.0,0.36875,1.0,0.7291666666666666,1.0,0.8461538461538461,0.1,0.09090909090909091
105,0.43496271748135873,0.47992700729927007,0.75,1.0,0.3734375,1.0,0.7291666666666666,1.0,0.8461538461538461,0.1,0.09090909090909091
106,0.4391052195526098,0.4844890510948905,0.75,1.0,0.3796875,1.0,0.7291666666666666,1.0,0.8461538461538461,0.1,0.09090909090909091
107,0.44324772162386084,0.48813868613138683,0.75,1.0,0.3859375,1.0,0.7291666666666666,1.0,0.8461538461538461,0.1,0.09090909090909091
108,0.44739022369511183,0.48996350364963503,0.75,1.0,0.3890625,1.0,0.7291666666666666,1.0,0.8461538461538461,0.1,0.09090909090909091
109,0.4515327257663629,0.49452554744525545,0.75,1.0,0.3953125,1.0,0.75,1.0,0.8461538461538461,0.1,0.09090909090909091
110,0.45567522783761394,0.5,0.75,1.0,0.4,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
111,0.45981772990886494,0.5036496350364964,0.75,1.0,0.4046875,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
112,0.463960231980116,0.5063868613138686,0.75,1.0,0.4078125,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
113,0.46810273405136704,0.5082116788321168,0.75,1.0,0.4109375,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
114,0.47224523612261804,0.5109489051094891,0.75,1.0,0.4140625,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
115,0.4763877381938691,0.5118613138686131,0.75,1.0,0.415625,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
116,0.48053024026512015,0.5164233576642335,0.75,1.0,0.421875,1.0,0.7708333333333334,1.0,0.8461538461538461,0.1,0.09090909090909091
117,0.48467274233637114,0.5228102189781022,0.75,1.0,0.4296875,1.0,0.7708333333333334,1.0,0.9230769230769231,0.1,0.09090909090909091
118,0.4888152444076222,0.5282846715328468,0.75,1.0,0.4375,1.0,0.7708333333333334,1.0,0.9230769230769231,0.1,0.09090909090909091
119,0.49295774647887325,0.5328467153284672,0.75,1.0,0.44375,1.0,0.7708333333333334,1.0,0.9230769230769231,0.2,0.18181818181818182
120,0.4971002485501243,0.5355839416058394,0.75,1.0,0.446875,1.0,0.7708333333333334,1.0,0.9230769230769231,0.2,0.18181818181818182
121,0.5012427506213754,0.541058394160584,0.75,1.0,0.453125,1.0,0.7708333333333334,1.0,0.9230769230769231,0.2,0.18181818181818182
122,0.5053852526926264,0.5456204379562044,0.75,1.0,0.4546875,1.0,0.7708333333333334,1.0,0.9230769230769231,0.2,0.18181818181818182
123,0.5095277547638773,0.551094890510949,0.75,1.0,0.459375,1.0,0.7916666666666666,1.0,0.9230769230769231,0.2,0.18181818181818182
124,0.5136702568351285,0.5556569343065694,0.75,1.0,0.465625,1.0,0.8125,1.0,0.9230769230769231,0.2,0.18181818181818182
125,0.5178127589063795,0.5602189781021898,0.75,1.0,0.4703125,1.0,0.8125,1.0,0.9230769230769231,0.2,0.18181818181818182
