Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
28,0.11727257497068186,0.17474185861795075,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
29,0.12146088121963478,0.17791898332009531,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
30,0.1256491874685877,0.18109610802223988,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
31,0.12983749371754064,0.18427323272438442,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
32,0.13402579996649355,0.18665607625099284,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
33,0.13821410621544647,0.18903891977760126,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
34,0.14240241246439939,0.19142176330420968,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
35,0.14659071871335233,0.19301032565528198,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
36,0.15077902496230525,0.19459888800635425,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
37,0.15496733121125816,0.19857029388403494,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
38,0.15915563746021108,0.19857029388403494,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
39,0.16334394370916402,0.20095313741064336,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
40,0.16753224995811694,0.20254169976171565,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
41,0.17172055620706986,0.20492454328832407,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
42,0.17590886245602277,0.20651310563939634,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
43,0.18009716870497572,0.2073073868149325,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
44,0.18428547495392864,0.21048451151707703,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
45,0.18847378120288155,0.21207307386814933,0.0,0.4,0.36363636363636365,1.0,0.11587982832618025,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
46,0.19266208745183447,0.21683876092136617,0.0,0.4,0.36363636363636365,1.0,0.12875536480686695,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
47,0.1968503937007874,0.22319301032565528,0.0,0.4,0.36363636363636365,1.0,0.13304721030042918,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
48,0.20103869994974033,0.2255758538522637,0.0,0.4,0.36363636363636365,1.0,0.13304721030042918,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
49,0.20522700619869325,0.22954725972994441,0.0,0.4,0.36363636363636365,1.0,0.13304721030042918,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
50,0.20941531244764616,0.23510722795869737,0.0,0.4,0.36363636363636365,1.0,0.13304721030042918,0.4,0.14814814814814814,0.7,0.25,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
51,0.2136036186965991,0.2390786338363781,0.0,0.4,0.36363636363636365,1.0,0.13733905579399142,0.4,0.14814814814814814,0.7,0.25,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
52,0.21779192494555202,0.24305003971405878,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.7,0.25,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
53,0.22198023119450494,0.24622716441620335,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.7,0.25,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
54,0.22616853744345786,0.25258141382049243,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.7,0.25,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
55,0.2303568436924108,0.255758538522637,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.7,0.25,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
56,0.23454514994136372,0.2597299444003177,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.7,0.25,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
57,0.23873345619031663,0.2621127879269261,0.0,0.4,0.36363636363636365,1.0,0.14163090128755365,0.4,0.14814814814814814,0.8,0.2857142857142857,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
58,0.24292176243926955,0.26608419380460685,0.0,0.4,0.36363636363636365,1.0,0.1459227467811159,0.4,0.14814814814814814,0.8,0.2857142857142857,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
59,0.2471100686882225,0.2692613185067514,0.0,0.4,0.36363636363636365,1.0,0.1459227467811159,0.4,0.14814814814814814,0.9,0.32142857142857145,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
60,0.2512983749371754,0.2716441620333598,0.0,0.5,0.45454545454545453,1.0,0.15021459227467812,0.4,0.14814814814814814,0.9,0.32142857142857145,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
61,0.25548668118612833,0.2756155679110405,0.0,0.5,0.45454545454545453,1.0,0.15450643776824036,0.4,0.14814814814814814,0.9,0.32142857142857145,0.4,0.2,0.3,0.3,0.3,0.17647058823529413
62,0.2596749874350813,0.28038125496425736,0.0,0.5,0.45454545454545453,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.35714285714285715,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
63,0.26386329368403416,0.2835583796664019,0.0,0.5,0.45454545454545453,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.35714285714285715,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
64,0.2680515999329871,0.28673550436854645,0.0,0.6,0.5454545454545454,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.35714285714285715,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
65,0.27223990618194005,0.28991262907069104,0.0,0.6,0.5454545454545454,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.35714285714285715,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
66,0.27642821243089294,0.29547259729944403,0.0,0.6,0.5454545454545454,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.35714285714285715,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
67,0.2806165186798459,0.30262112787926926,0.0,0.6,0.5454545454545454,1.0,0.15450643776824036,0.4,0.14814814814814814,1.0,0.39285714285714285,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
68,0.28480482492879877,0.3057982525814138,0.0,0.6,0.5454545454545454,1.0,0.15879828326180256,0.4,0.14814814814814814,1.0,0.42857142857142855,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
69,0.2889931311777517,0.30818109610802225,0.0,0.6,0.5454545454545454,1.0,0.15879828326180256,0.4,0.14814814814814814,1.0,0.4642857142857143,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
70,0.29318143742670466,0.31215250198570293,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.4,0.14814814814814814,1.0,0.4642857142857143,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
71,0.29736974367565755,0.31374106433677523,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.4,0.14814814814814814,1.0,0.4642857142857143,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
72,0.3015580499246105,0.3153296266878475,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.5,0.18518518518518517,1.0,0.4642857142857143,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
73,0.30574635617356344,0.3177124702144559,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.5,0.18518518518518517,1.0,0.5,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
74,0.3099346624225163,0.32247815726767276,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.5,0.18518518518518517,1.0,0.5357142857142857,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
75,0.31412296867146927,0.32406671961874506,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.5,0.18518518518518517,1.0,0.5357142857142857,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
76,0.31831127492042216,0.32644956314535345,0.0,0.6,0.5454545454545454,1.0,0.1630901287553648,0.5,0.18518518518518517,1.0,0.5357142857142857,0.5,0.25,0.3,0.3,0.3,0.17647058823529413
